episode_uid,folder,vehicle_file,v2_2_epoch_quality_flags,v2_2_epoch_quality_cn,figure_path
rec_v1_gzj_2025_09_27_12_17_12_0016,04_旧锚点偏晚,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_12_17_12_vehicle.csv,old_start_too_late;old_end_too_late;old_anchor_too_late,旧开始偏晚，可能切掉响应前段；旧结束偏晚，后面可能混入恢复或下一段驾驶；旧模型锚点偏晚,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\04_旧锚点偏晚\rec_v1_gzj_2025_09_27_12_17_12_0016.png
rec_v1_cwh_2025_09_26_19_35_47_0010,04_旧锚点偏晚,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_35_47_vehicle.csv,old_start_too_late;old_end_too_late;old_anchor_too_late,旧开始偏晚，可能切掉响应前段；旧结束偏晚，后面可能混入恢复或下一段驾驶；旧模型锚点偏晚,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\04_旧锚点偏晚\rec_v1_cwh_2025_09_26_19_35_47_0010.png
rec_v1_yyl_2025_09_28_09_14_23_0015,04_旧锚点偏晚,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yyl\Entity_Recording_2025_09_28_09_14_23_vehicle.csv,old_start_too_late;old_end_too_late;old_anchor_too_late,旧开始偏晚，可能切掉响应前段；旧结束偏晚，后面可能混入恢复或下一段驾驶；旧模型锚点偏晚,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\04_旧锚点偏晚\rec_v1_yyl_2025_09_28_09_14_23_0015.png
rec_v1_lx_2025_09_26_08_58_43_0005,04_旧锚点偏晚,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lx\Entity_Recording_2025_09_26_08_58_43_vehicle.csv,old_start_too_late;old_end_too_early;old_anchor_too_late,旧开始偏晚，可能切掉响应前段；旧结束偏早，后续仍有车辆/驾驶员动态；旧模型锚点偏晚,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\04_旧锚点偏晚\rec_v1_lx_2025_09_26_08_58_43_0005.png
rec_v1_hzh_2025_09_26_21_17_02_0035,04_旧锚点偏晚,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_17_02_vehicle.csv,old_start_too_late;old_end_too_early;old_anchor_too_late,旧开始偏晚，可能切掉响应前段；旧结束偏早，后续仍有车辆/驾驶员动态；旧模型锚点偏晚,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\04_旧锚点偏晚\rec_v1_hzh_2025_09_26_21_17_02_0035.png
rec_v1_zx_2025_09_27_18_00_08_0010,04_旧锚点偏晚,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_18_00_08_vehicle.csv,old_start_too_late;old_end_too_late;old_anchor_too_late,旧开始偏晚，可能切掉响应前段；旧结束偏晚，后面可能混入恢复或下一段驾驶；旧模型锚点偏晚,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\04_旧锚点偏晚\rec_v1_zx_2025_09_27_18_00_08_0010.png
rec_v1_zdq_2025_09_26_15_37_30_0012,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_37_30_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_zdq_2025_09_26_15_37_30_0012.png
rec_v1_hzh_2025_09_26_20_50_27_0031,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_20_50_27_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_hzh_2025_09_26_20_50_27_0031.png
rec_v1_zdq_2025_09_26_15_27_09_0016,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_27_09_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_zdq_2025_09_26_15_27_09_0016.png
rec_v1_lx_2025_09_26_09_06_38_0012,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lx\Entity_Recording_2025_09_26_09_06_38_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_lx_2025_09_26_09_06_38_0012.png
rec_v1_hzh_2025_09_26_21_03_19_0023,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_03_19_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_hzh_2025_09_26_21_03_19_0023.png
rec_v1_yzy_2025_09_27_15_07_57_0019,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_15_07_57_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_yzy_2025_09_27_15_07_57_0019.png
rec_v1_lx_2025_09_26_09_17_22_0016,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lx\Entity_Recording_2025_09_26_09_17_22_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_lx_2025_09_26_09_17_22_0016.png
rec_v1_zdq_2025_09_26_15_21_51_0007,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_21_51_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_zdq_2025_09_26_15_21_51_0007.png
rec_v1_gf_2025_09_26_10_52_57_0019,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_52_57_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_gf_2025_09_26_10_52_57_0019.png
rec_v1_gf_2025_09_26_10_18_49_0017,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_18_49_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_gf_2025_09_26_10_18_49_0017.png
rec_v1_gzj_2025_09_27_11_38_49_0004,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_38_49_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_gzj_2025_09_27_11_38_49_0004.png
rec_v1_jy_2025_09_26_17_40_51_0008,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_40_51_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_jy_2025_09_26_17_40_51_0008.png
rec_v1_jy_2025_09_26_17_40_51_0002,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_40_51_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_jy_2025_09_26_17_40_51_0002.png
rec_v1_gf_2025_09_26_10_52_57_0004,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_52_57_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_gf_2025_09_26_10_52_57_0004.png
