variant_id,name_cn,description_cn,sample_count,split_counts_json,category_counts_json,test_best_model,test_rmse_steer,test_primary_rmse_0_2s,test_tail_rmse_2_5s,test_wrong_side_rate_large,test_severe_amp_under_rate_large,test_large_response_recall,clean_subset_test_n,clean_subset_test_sample_rmse_aggregate,clean_subset_wrong_side_rate_large,clean_subset_severe_amp_under_rate_large,all_test_sample_rmse_aggregate,fixed_plot,bad_plot
v03_plus_review_ref,干净集 + 待复核（原特征参考）,当前推荐训练范围，不加入 excluded，保留横向偏移特征，用作本轮参考。,793,"{""train"": 454, ""test"": 209, ""val"": 130}","{""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49}",rbf_kernel_vehicle_context_alpha0.1_g1,0.5966981426075852,0.45297463980691527,0.6762285901838951,0.19230769230769232,0.6538461538461539,0.6153846153846154,114,0.7945209891651704,0.2127659574468085,0.6382978723404256,0.5966981439007009,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_v03_excluded_stratified_inclusion/v03_plus_review_ref/figures/v03_plus_review_ref_fixed_predictions_test.png,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_v03_excluded_stratified_inclusion/v03_plus_review_ref/figures/v03_plus_review_ref_bad_samples_test.png
v03_plus_review_no_lateral,干净集 + 待复核（去横向偏移）,不加入 excluded，但去掉横向偏移特征，用于和后续 excluded 去横向偏移版本公平比较。,793,"{""train"": 454, ""test"": 209, ""val"": 130}","{""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49}",rbf_kernel_vehicle_context_alpha0.1_g1,0.6043409611328766,0.4547623287645711,0.6866947573483759,0.23076923076923078,0.6538461538461539,0.6346153846153846,114,0.798511530535568,0.2553191489361702,0.6382978723404256,0.6043409430471413,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_v03_excluded_stratified_inclusion/v03_plus_review_no_lateral/figures/v03_plus_review_no_lateral_fixed_predictions_test.png,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_v03_excluded_stratified_inclusion/v03_plus_review_no_lateral/figures/v03_plus_review_no_lateral_bad_samples_test.png
v03_plus_review_excluded_all_no_lateral,干净集 + 待复核 + 全部 excluded（去横向偏移）,加入全部可成窗 excluded，但去掉横向偏移特征，检查坐标跳变风险是否主要来自横向偏移输入。,1562,"{""train"": 921, ""test"": 371, ""val"": 270}","{""excluded"": 769, ""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49}",rbf_kernel_vehicle_context_alpha1_g1,0.7321343836809074,0.5452982105470612,0.83431371399473,0.15151515151515152,0.6161616161616161,0.6363636363636364,114,0.7594139764148736,0.16666666666666666,0.8333333333333334,0.7321343840754276,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_v03_excluded_stratified_inclusion/v03_plus_review_excluded_all_no_lateral/figures/v03_plus_review_excluded_all_no_lateral_fixed_predictions_test.png,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_v03_excluded_stratified_inclusion/v03_plus_review_excluded_all_no_lateral/figures/v03_plus_review_excluded_all_no_lateral_bad_samples_test.png
v03_plus_review_excluded_low_mu_no_lateral,干净集 + 待复核 + 低附着 excluded（去横向偏移）,只加入 excluded 中低附着来源样本，检查低附着风险池是否可用。,1204,"{""train"": 696, ""test"": 300, ""val"": 208}","{""excluded"": 411, ""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49}",rbf_kernel_vehicle_context_alpha1_g1,0.6893066812661031,0.5121659516042891,0.7854640224626401,0.24444444444444444,0.7333333333333333,0.6333333333333333,114,0.7722722166158381,0.29411764705882354,0.7647058823529411,0.6893066785313737,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_v03_excluded_stratified_inclusion/v03_plus_review_excluded_low_mu_no_lateral/figures/v03_plus_review_excluded_low_mu_no_lateral_fixed_predictions_test.png,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_v03_excluded_stratified_inclusion/v03_plus_review_excluded_low_mu_no_lateral/figures/v03_plus_review_excluded_low_mu_no_lateral_bad_samples_test.png
v03_plus_review_excluded_curve_no_lateral,干净集 + 待复核 + 弯道 excluded（去横向偏移）,只加入 excluded 中弯道/曲率来源样本，检查弯道风险池是否可用。,846,"{""train"": 486, ""test"": 219, ""val"": 141}","{""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""excluded"": 53, ""strong_response"": 49}",rbf_kernel_vehicle_context_alpha1_g0.5,0.6517186396289367,0.47844424591192236,0.7460281982385023,0.21818181818181817,0.7454545454545455,0.6727272727272727,114,0.7833945016099279,0.2619047619047619,0.7380952380952381,0.6517186493888466,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_v03_excluded_stratified_inclusion/v03_plus_review_excluded_curve_no_lateral/figures/v03_plus_review_excluded_curve_no_lateral_fixed_predictions_test.png,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_v03_excluded_stratified_inclusion/v03_plus_review_excluded_curve_no_lateral/figures/v03_plus_review_excluded_curve_no_lateral_bad_samples_test.png
v03_plus_review_excluded_roll_no_lateral,干净集 + 待复核 + 横滚姿态 excluded（去横向偏移）,只加入 excluded 中横滚/姿态来源样本，检查姿态风险池是否可用。,1092,"{""train"": 640, ""test"": 270, ""val"": 182}","{""manual_review"": 311, ""excluded"": 299, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49}",knn_vehicle_history_context_k9,0.666144931803539,0.5218185611290138,0.7475455175211683,0.125,0.5,0.6964285714285714,114,0.7777207681697859,0.16666666666666666,0.75,0.6661449246381465,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_v03_excluded_stratified_inclusion/v03_plus_review_excluded_roll_no_lateral/figures/v03_plus_review_excluded_roll_no_lateral_fixed_predictions_test.png,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_v03_excluded_stratified_inclusion/v03_plus_review_excluded_roll_no_lateral/figures/v03_plus_review_excluded_roll_no_lateral_bad_samples_test.png
v03_plus_review_excluded_lateral_dyn_no_lateral,干净集 + 待复核 + 横向动态 excluded（去横向偏移）,只加入 excluded 中横向动态来源样本；该类数量很少，只作为风险检查。,799,"{""train"": 449, ""test"": 212, ""val"": 138}","{""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49, ""excluded"": 6}",knn_vehicle_history_context_k5,0.6535504082762014,0.48964143131023063,0.7435772783411311,0.2,0.6909090909090909,0.6727272727272727,114,0.8200342962216954,0.23404255319148937,0.6808510638297872,0.6535504282904994,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_v03_excluded_stratified_inclusion/v03_plus_review_excluded_lateral_dyn_no_lateral/figures/v03_plus_review_excluded_lateral_dyn_no_lateral_fixed_predictions_test.png,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_v03_excluded_stratified_inclusion/v03_plus_review_excluded_lateral_dyn_no_lateral/figures/v03_plus_review_excluded_lateral_dyn_no_lateral_bad_samples_test.png
