model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,486,0.7023081166835955,0.45353773656230756,0.8271082268210866,0.7135409132382016,122,1.0,1.0,0.0,0.8395987004041672
zero_delta,val,141,0.5250891916260716,0.391130635118229,0.5979099109369903,0.6527667710861416,41,1.0,1.0,0.0,0.8395987004041672
zero_delta,test,219,0.7086961228548951,0.5116247716903644,0.8146705245812697,0.7581872529234337,55,1.0,1.0,0.0,0.8395987004041672
linear_trend_from_last_rate,train,486,3.4620834761086328,1.3594430928331176,4.323901157036353,2.620275383347592,122,0.7622950819672131,0.47540983606557374,0.6229508196721312,0.8395987004041672
linear_trend_from_last_rate,val,141,4.60920658127165,1.8301239170790113,5.752867937120852,3.5234108720476747,41,0.7560975609756098,0.36585365853658536,0.7073170731707317,0.8395987004041672
linear_trend_from_last_rate,test,219,3.4573255855455347,1.3808446125282758,4.3130857650327705,2.527367429413884,55,0.8545454545454545,0.45454545454545453,0.5818181818181818,0.8395987004041672
train_global_mean,train,486,0.6975523842518251,0.45335323242149206,0.8204679795920671,0.6043989440357244,122,0.3770491803278688,1.0,0.0,0.8395987004041672
train_global_mean,val,141,0.5243937170532503,0.3915314457019284,0.5967803969981649,0.5384112657278988,41,0.3902439024390244,1.0,0.0,0.8395987004041672
train_global_mean,test,219,0.7095176015690804,0.5114506900265445,0.8159239955385023,0.6493761691048988,55,0.45454545454545453,1.0,0.0,0.8395987004041672
train_category_mean,train,486,0.6790770277496017,0.43843023994291497,0.7997740202859321,0.5475982787478485,122,0.36065573770491804,0.8360655737704918,0.38524590163934425,0.8395987004041672
train_category_mean,val,141,0.5163668007145431,0.39875246202671444,0.5816657947963677,0.4830975061718454,41,0.3902439024390244,0.8780487804878049,0.24390243902439024,0.8395987004041672
train_category_mean,test,219,0.7037019481820616,0.49694780739990346,0.8136561311177501,0.598006454575488,55,0.509090909090909,0.9454545454545454,0.34545454545454546,0.8395987004041672
train_context_mean,train,486,0.6924367003998769,0.4504732775717007,0.8143255559237832,0.5634443302075436,122,0.36885245901639346,0.9836065573770492,0.3770491803278688,0.8395987004041672
train_context_mean,val,141,0.5219836470300577,0.39689271316648794,0.5909100424985626,0.497644453342502,41,0.43902439024390244,1.0,0.2926829268292683,0.8395987004041672
train_context_mean,test,219,0.705840736569519,0.5174562130707545,0.808096359524282,0.6195030718830257,55,0.509090909090909,0.9818181818181818,0.38181818181818183,0.8395987004041672
torch_linear_vehicle_context,train,486,0.5439344093421672,0.34738768158613104,0.6418396901240427,0.38252829423043955,122,0.2540983606557377,0.26229508196721313,0.9508196721311475,0.8395987004041672
torch_linear_vehicle_context,val,141,0.7241327409585674,0.6004085371811466,0.7943029220019194,0.41645938342978767,41,0.3170731707317073,0.2926829268292683,0.926829268292683,0.8395987004041672
torch_linear_vehicle_context,test,219,0.7355522702546461,0.5658840797948048,0.8306239588654181,0.5160282665728613,55,0.2545454545454545,0.2545454545454545,0.9272727272727272,0.8395987004041672
torch_mlp256_vehicle_context,train,486,0.22000876212823542,0.186647244252622,0.24021547909987664,0.17090413469529936,122,0.07377049180327869,0.06557377049180328,0.9672131147540983,0.8395987004041672
torch_mlp256_vehicle_context,val,141,0.4868623181945247,0.3398883724514161,0.5638356246544609,0.3282823310042104,41,0.21951219512195122,0.24390243902439024,0.926829268292683,0.8395987004041672
torch_mlp256_vehicle_context,test,219,0.730837519781228,0.5105024836533046,0.8468488020557409,0.46312382468819774,55,0.32727272727272727,0.32727272727272727,0.9454545454545454,0.8395987004041672
torch_mlp512_vehicle_context,train,486,0.4619511918031191,0.32323875310173944,0.5346157100691805,0.3571176355390392,122,0.13934426229508196,0.13114754098360656,0.9836065573770492,0.8395987004041672
torch_mlp512_vehicle_context,val,141,0.4960101199809689,0.3627471278765055,0.5684818778139795,0.39768878550182846,41,0.3170731707317073,0.21951219512195122,0.9512195121951219,0.8395987004041672
torch_mlp512_vehicle_context,test,219,0.7085436247032394,0.5146279955284067,0.8131649890657439,0.5370306937926614,55,0.2545454545454545,0.34545454545454546,0.9636363636363636,0.8395987004041672
