threshold,split,selector_rmse,rbf_fallback_rate
0.05,train,0.3299273537025652,0.9893617021276596
0.05,val,0.5714822247805078,1.0
0.1,train,0.33137019460689693,0.9787234042553191
0.1,val,0.5771558963074607,0.9761904761904762
0.15,train,0.3318933254094131,0.9680851063829787
0.15,val,0.5771558963074607,0.9761904761904762
0.2,train,0.34653657119569753,0.9521276595744681
0.2,val,0.5924566353704985,0.9523809523809523
0.25,train,0.3480113538581178,0.9042553191489362
0.25,val,0.5933081858847035,0.9285714285714286
0.3,train,0.34754253213458525,0.8457446808510638
0.3,val,0.5850237497867847,0.8333333333333334
0.35,train,0.35095553926455175,0.7925531914893617
0.35,val,0.584540929762703,0.8095238095238095
0.4,train,0.3558131926793541,0.7340425531914894
0.4,val,0.584540929762703,0.8095238095238095
0.45,train,0.37535893761196787,0.6648936170212766
0.45,val,0.5786923317803989,0.7619047619047619
0.5,train,0.3762208708197899,0.6170212765957447
0.5,val,0.5812660427624906,0.7142857142857143
0.55,train,0.3844279817532843,0.574468085106383
0.55,val,0.5812660427624906,0.7142857142857143
0.6,train,0.3874752091501441,0.5159574468085106
0.6,val,0.5762491330147949,0.6666666666666666
0.65,train,0.40024506057498277,0.46808510638297873
0.65,val,0.5836081914481978,0.5952380952380952
0.7,train,0.40705459175950554,0.425531914893617
0.7,val,0.5848950310533836,0.5238095238095238
0.75,train,0.419831592434741,0.34574468085106386
0.75,val,0.6181580115603005,0.38095238095238093
0.8,train,0.4248822497744186,0.31382978723404253
0.8,val,0.6225984341708438,0.30952380952380953
0.85,train,0.4323696110131423,0.2712765957446808
0.85,val,0.6243770430844252,0.2619047619047619
0.9,train,0.43837919006994114,0.19680851063829788
0.9,val,0.6305606670014695,0.19047619047619047
0.95,train,0.4454749215734284,0.14893617021276595
0.95,val,0.6254532922653329,0.09523809523809523
