sample_id,event_uid,subject,session_stamp,split,anchor_time_rel_s,curvature_anchor,input_valid_ratio,median_speed_kmh_window,event_type,event_level,road_type_anchor,old_v400_road_type_mode,old_v400_phase_mode,road_design_module_name,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability,top1_branch,best_branch_oracle,top1_matches_best,top1_prob,prob_margin,branch_spread_mean,branch_spread_peak,branch0_prob,branch1_prob,branch2_prob,prob_entropy,rbf_sample_rmse,rbf_wrong_side,rbf_large_response_recalled,rbf_severe_amp_under,rbf_peak_amp_abs_error,rbf_peak_time_abs_error_s,rbf_onset_delay_abs_error_s,rbf_tail_abs_error,rbf_tail_drift_risk,rbf_zero_crossing_mismatch,rbf_reversal_count_exact,rbf_pred_peak_abs,rbf_pred_reversal_count,rbf_pred_multi_segment,rbf_gt_peak_abs,rbf_is_large_response,rbf_is_difficult_peak_top20,top1_sample_rmse,top1_wrong_side,top1_large_response_recalled,top1_severe_amp_under,top1_peak_amp_abs_error,top1_peak_time_abs_error_s,top1_onset_delay_abs_error_s,top1_tail_abs_error,top1_tail_drift_risk,top1_zero_crossing_mismatch,top1_reversal_count_exact,top1_pred_peak_abs,top1_pred_reversal_count,top1_pred_multi_segment,top1_gt_peak_abs,top1_is_large_response,top1_is_difficult_peak_top20,branch0_sample_rmse,branch0_wrong_side,branch0_large_response_recalled,branch0_severe_amp_under,branch0_peak_amp_abs_error,branch0_peak_time_abs_error_s,branch0_onset_delay_abs_error_s,branch0_tail_abs_error,branch0_tail_drift_risk,branch0_zero_crossing_mismatch,branch0_reversal_count_exact,branch0_pred_peak_abs,branch0_pred_reversal_count,branch0_pred_multi_segment,branch0_gt_peak_abs,branch0_is_large_response,branch0_is_difficult_peak_top20,branch1_sample_rmse,branch1_wrong_side,branch1_large_response_recalled,branch1_severe_amp_under,branch1_peak_amp_abs_error,branch1_peak_time_abs_error_s,branch1_onset_delay_abs_error_s,branch1_tail_abs_error,branch1_tail_drift_risk,branch1_zero_crossing_mismatch,branch1_reversal_count_exact,branch1_pred_peak_abs,branch1_pred_reversal_count,branch1_pred_multi_segment,branch1_gt_peak_abs,branch1_is_large_response,branch1_is_difficult_peak_top20,branch2_sample_rmse,branch2_wrong_side,branch2_large_response_recalled,branch2_severe_amp_under,branch2_peak_amp_abs_error,branch2_peak_time_abs_error_s,branch2_onset_delay_abs_error_s,branch2_tail_abs_error,branch2_tail_drift_risk,branch2_zero_crossing_mismatch,branch2_reversal_count_exact,branch2_pred_peak_abs,branch2_pred_reversal_count,branch2_pred_multi_segment,branch2_gt_peak_abs,branch2_is_large_response,branch2_is_difficult_peak_top20,best_candidate_oracle,top1_worse_than_rbf,top1_minus_rbf_rmse,best_of_rbf_topk_rmse,best_of_rbf_topk_gain_over_rbf
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,train,60.84,0.0,1.0,109.498002,instability_ay_roll,extreme_active,straight,straight,primary,middle_section,section2,design_regular_road,high,0,2,0,0.34701928,0.018483877,0.24585636,0.42480898,0.34702975,0.3244379,0.32853237,1.0981802,0.29632851481437683,0,1,0,0.6094933748245239,0.11499989032745361,0.015000000596046448,0.09497059881687164,0,0,0,1.3351538181304932,129,1,1.944647192955017,1,1,0.6225379705429077,0,1,0,0.26626598834991455,0.5099999904632568,0.8099999874830246,0.2088851686567068,0,0,0,2.2109131813049316,2,1,1.944647192955017,1,1,0.6225379705429077,0,1,0,0.26626598834991455,0.5099999904632568,0.8099999874830246,0.2088851686567068,0,0,0,2.2109131813049316,2,1,1.944647192955017,1,1,0.8765343427658081,0,1,0,0.5193060636520386,0.6049998998641968,0.17999999225139618,0.8149581551551819,0,0,0,2.4639532566070557,2,1,1.944647192955017,1,1,0.4551369845867157,0,1,0,0.2545616626739502,0.4549999237060547,0.7900000065565109,0.14262866973876953,0,0,0,1.690085530281067,2,1,1.944647192955017,1,1,rbf,1,0.3262094557285309,0.29632851481437683,0.0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,train,187.815,0.0,1.0,112.325999,instability_ay_roll,strong_active,straight,straight,secondary,middle_section,section3,design_regular_road,low,0,0,1,0.38837993,0.032203823,0.22878353,0.4078026,0.38838145,0.2554441,0.35617447,1.0836275,0.2836828827857971,0,0,0,0.024695396423339844,0.4750000238418579,0.6499999836087227,0.12793764472007751,0,0,0,0.9230186343193054,75,1,0.9477140307426453,0,0,0.2659406363964081,0,0,0,0.044308602809906006,0.4650000333786011,0.4099999964237213,0.15682433545589447,0,0,0,0.9920226335525513,2,1,0.9477140307426453,0,0,0.2659406363964081,0,0,0,0.044308602809906006,0.4650000333786011,0.4099999964237213,0.15682433545589447,0,0,0,0.9920226335525513,2,1,0.9477140307426453,0,0,0.3292834460735321,0,0,0,0.1468968391418457,0.6600000858306885,0.050000011920928955,0.1559654325246811,0,0,0,0.8008171916007996,1,0,0.9477140307426453,0,0,0.491344153881073,0,0,0,0.5025854706764221,0.3700000047683716,0.5049999952316284,0.4416998028755188,0,0,0,1.4502995014190674,2,1,0.9477140307426453,0,0,branch0,0,-0.017742246389389038,0.2659406363964081,0.017742246389389038
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,train,349.3,-0.00025321,1.0,137.065,instability_ay_roll,extreme_active,straight,straight,secondary,curve2,curve2,design_curve_context,very_low,2,2,1,0.40466776,0.060604364,0.2484105,0.4048771,0.3440664,0.25127074,0.40466285,1.0802517,0.23338569700717926,0,0,0,0.43529611825942993,0.04499983787536621,0.12000000476837158,0.005930483341217041,0,0,0,0.8939477801322937,155,1,1.3292438983917236,0,0,0.32824403047561646,0,0,0,0.5744685530662537,0.8149999380111694,0.17500001192092896,0.8361706286668777,1,0,0,0.75477534532547,0,0,1.3292438983917236,0,0,0.5585370659828186,0,0,1,0.8620695769786835,0.4100000858306885,0.06499999761581421,0.6767861694097519,1,1,0,0.46717432141304016,0,0,1.3292438983917236,0,0,0.862341582775116,0,0,0,0.6453729867935181,1.6149998903274536,0.625,0.24815239384770393,0,0,1,0.6838709115982056,2,1,1.3292438983917236,0,0,0.32824403047561646,0,0,0,0.5744685530662537,0.8149999380111694,0.17500001192092896,0.8361706286668777,1,0,0,0.75477534532547,0,0,1.3292438983917236,0,0,rbf,1,0.0948583334684372,0.23338569700717926,0.0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,train,58.865,0.0,1.0,116.815,instability_ay_roll,extreme_active,straight,straight,secondary,middle_section,section2,design_regular_road,high,2,1,0,0.37562755,0.003869325,0.24971178,0.43020067,0.3717601,0.25261664,0.37562323,1.0832282,0.6231074333190918,0,1,0,0.8942404985427856,0.08500003814697266,0.6099999845027924,0.045429714024066925,0,0,0,1.303301453590393,157,1,2.1975419521331787,1,1,0.9249687790870667,0,1,0,0.5588968992233276,0.14500010013580322,0.7100000083446503,0.4406967759132385,0,0,0,1.638645052909851,2,1,2.1975419521331787,1,1,0.7405651807785034,0,1,0,0.9602676630020142,0.03000009059906006,0.7199999988079071,0.11738419532775879,0,0,0,1.2372742891311646,2,1,2.1975419521331787,1,1,0.641853392124176,0,0,1,1.107567310333252,0.15999996662139893,0.5000000298023224,0.31050965189933777,0,0,0,1.0899746417999268,1,0,2.1975419521331787,1,1,0.9249687790870667,0,1,0,0.5588968992233276,0.14500010013580322,0.7100000083446503,0.4406967759132385,0,0,0,1.638645052909851,2,1,2.1975419521331787,1,1,rbf,1,0.30186134576797485,0.6231074333190918,0.0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,train,131.145,-0.00729802,1.0,94.22245,instability_ay_roll,strong_active,curve,curve,secondary,curve1,curve1,design_curve_context,high,0,0,1,0.44044864,0.10880056,0.24503772,0.4154991,0.44044778,0.22790237,0.3316499,1.0642155,0.21454249322414398,0,1,0,0.2555558681488037,0.08500003814697266,0.06000000238418579,0.09274064004421234,0,0,0,1.4471921920776367,90,1,1.7027480602264404,1,0,0.3645237386226654,0,1,0,0.15564298629760742,0.33500003814697266,0.49500003457069397,0.45903488993644714,0,1,0,1.547105073928833,1,0,1.7027480602264404,1,0,0.3645237386226654,0,1,0,0.15564298629760742,0.33500003814697266,0.49500003457069397,0.45903488993644714,0,1,0,1.547105073928833,1,0,1.7027480602264404,1,0,0.41847601532936096,0,1,0,0.5955630540847778,0.4500000476837158,0.06999999284744263,0.252622127532959,0,1,0,1.1071850061416626,1,0,1.7027480602264404,1,0,0.5733460783958435,0,1,0,0.3445124626159668,0.309999942779541,0.429999977350235,0.816324770450592,0,1,0,2.0472605228424072,1,0,1.7027480602264404,1,0,rbf,1,0.14998124539852142,0.21454249322414398,0.0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,train,216.345,0.0,1.0,105.803,instability_ay_roll,strong_active,straight,straight,secondary,fix_road,fix_road,design_special_event_segment,low,2,2,1,0.4078055,0.05940199,0.22237752,0.40211728,0.34840932,0.24379355,0.40779713,1.0772414,0.1462903767824173,0,0,0,0.2881791591644287,0.0,0.02499997615814209,0.12178708985447884,0,0,0,1.244619607925415,84,1,0.9564404487609863,0,0,0.2146328240633011,0,0,0,0.3145662546157837,0.08000004291534424,0.5800000131130219,0.6364616304636002,1,0,1,1.27100670337677,2,1,0.9564404487609863,0,0,0.26341313123703003,0,0,0,0.1568884253501892,0.04499995708465576,0.12499994039535522,0.4396386593580246,0,0,1,0.7995520234107971,2,1,0.9564404487609863,0,0,0.49198952317237854,0,0,0,0.2869075536727905,0.3399999141693115,0.20000004768371582,0.15638347622007132,0,0,0,0.6695328950881958,1,0,0.9564404487609863,0,0,0.2146328240633011,0,0,0,0.3145662546157837,0.08000004291534424,0.5800000131130219,0.6364616304636002,1,0,1,1.27100670337677,2,1,0.9564404487609863,0,0,rbf,1,0.06834244728088379,0.1462903767824173,0.0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,train,65.55,-0.0,1.0,23.153981,instability_ay_roll,instability_extreme,design_regular_road,none,none,middle_section,section2,design_regular_road,medium,0,0,1,0.36952415,0.03802389,0.12168916,0.24886583,0.3695282,0.33149153,0.2989803,1.0948752,0.011870809830725193,0,0,0,0.01276010274887085,0.22499996423721313,0.0,0.004515562206506729,0,0,1,0.09020990133285522,1,0,0.10297000408172607,0,0,0.09383577853441238,0,0,0,0.20426508784294128,0.35500001907348633,0.020000003278255463,0.10524334013462067,1,1,0,0.30723509192466736,0,0,0.10297000408172607,0,0,0.09383577853441238,0,0,0,0.20426508784294128,0.35500001907348633,0.020000003278255463,0.10524334013462067,1,1,0,0.30723509192466736,0,0,0.10297000408172607,0,0,0.1735573559999466,0,0,0,0.2253798246383667,1.1950000524520874,0.09000000357627869,0.05041947960853577,0,1,0,0.3283498287200928,0,0,0.10297000408172607,0,0,0.20564047992229462,1,0,0,0.18452733755111694,2.3450000286102295,0.0,0.3122773766517639,1,1,0,0.287497341632843,0,0,0.10297000408172607,0,0,rbf,1,0.08196496870368719,0.011870809830725193,0.0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,train,164.15,-0.00729802,1.0,93.4647,instability_ay_roll,strong_active,curve,curve,secondary,curve1,curve1,design_curve_context,high,0,2,0,0.4079444,0.04654914,0.2849716,0.52453345,0.40794876,0.23066191,0.36138928,1.0719297,0.24024905264377594,0,0,0,0.13202345371246338,1.1750000715255737,0.04499998688697815,0.18265731632709503,0,0,0,1.2630199193954468,167,1,1.3950433731079102,0,0,0.4849538505077362,0,0,0,0.15292680263519287,1.2000000476837158,0.06999999284744263,0.14053842425346375,0,0,0,1.2421165704727173,1,0,1.3950433731079102,0,0,0.4849538505077362,0,0,0,0.15292680263519287,1.2000000476837158,0.06999999284744263,0.14053842425346375,0,0,0,1.2421165704727173,1,0,1.3950433731079102,0,0,0.8668813705444336,0,0,0,0.06869971752166748,1.2700000405311584,0.08499999344348907,0.2629934214055538,0,1,0,1.4637430906295776,1,0,1.3950433731079102,0,0,0.20405717194080353,0,0,0,0.10629904270172119,0.5950000286102295,0.06499999761581421,0.46636152267456055,0,0,0,1.5013424158096313,1,0,1.3950433731079102,0,0,branch2,1,0.24470479786396027,0.20405717194080353,0.03619188070297241
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,train,275.87,-0.0,1.0,12.402441,instability_ay_roll,instability_extreme,design_special_event_segment,none,none,fix_road,fix_road,design_special_event_segment,low,1,1,1,0.44567648,0.10042417,0.13249905,0.25498998,0.34525758,0.4456683,0.20907402,1.0545644,0.00627385126426816,0,0,0,0.00403933972120285,0.009999990463256836,0.375,0.0026199575513601303,0,0,1,0.040339283645153046,2,1,0.036299943923950195,0,0,0.049956806004047394,1,0,0,0.03454730659723282,1.7049999833106995,2.274999976158142,0.056405363604426384,1,0,0,0.07084725052118301,0,0,0.036299943923950195,0,0,0.13854244351387024,0,0,0,0.21945539116859436,0.8500000238418579,2.3849999755620956,0.1180490106344223,1,0,0,0.25575533509254456,0,0,0.036299943923950195,0,0,0.049956806004047394,1,0,0,0.03454730659723282,1.7049999833106995,2.274999976158142,0.056405363604426384,1,0,0,0.07084725052118301,0,0,0.036299943923950195,0,0,0.37322765588760376,0,0,0,0.5972845554351807,0.8250000476837158,2.4249999821186066,0.35692456364631653,1,0,0,0.6335844993591309,1,0,0.036299943923950195,0,0,rbf,1,0.043682954739779234,0.00627385126426816,0.0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,train,384.19,-0.0,1.0,120.9992,instability_ay_roll,strong_active,straight,straight,secondary,middle_section,section5,design_regular_road,very_low,0,2,0,0.383185,0.0301795,0.16982767,0.34083068,0.38319165,0.35299394,0.2638144,1.0866745,0.21663060784339905,0,0,0,0.28332018852233887,0.10499989986419678,0.06499999761581421,0.12768647074699402,0,0,0,1.0895557403564453,165,1,1.3728759288787842,0,0,0.6163927316665649,0,0,0,0.009715557098388672,0.5849999189376831,0.27500003576278687,0.13777309656143188,0,0,0,1.3631603717803955,2,1,1.3728759288787842,0,0,0.6163927316665649,0,0,0,0.009715557098388672,0.5849999189376831,0.27500003576278687,0.13777309656143188,0,0,0,1.3631603717803955,2,1,1.3728759288787842,0,0,0.8324605226516724,0,0,0,0.3285088539123535,0.6799999475479126,0.45499998331069946,0.3436839133501053,0,0,0,1.7013847827911377,2,1,1.3728759288787842,0,0,0.451785683631897,0,0,0,0.38695091009140015,0.2049999237060547,0.2150000035762787,0.030508577823638916,0,0,0,0.985925018787384,1,0,1.3728759288787842,0,0,rbf,1,0.3997621238231659,0.21663060784339905,0.0
