subject,n_samples,rmse_steer,wrong_side_rate,large_response_recall,severe_amp_under_rate,difficult_top20_rate
zx,4,0.8704206075855853,0.75,0.0,0.0,0.0
tyy,2,0.6179303526027938,0.0,0.5,0.0,0.5
gf,4,0.5754041265307235,0.25,0.0,0.25,0.25
gzj,9,0.5665104625288775,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222
zxy,2,0.511090645601503,0.0,0.0,0.0,0.0
hzh,14,0.43416007233252635,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.14285714285714285
byx,2,0.3476086145003058,0.0,0.0,0.5,0.0
yyl,3,0.3384591341112015,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
