road_design_module_name,n_samples,rmse_steer,wrong_side_rate,large_response_recall,severe_amp_under_rate,difficult_top20_rate
curve1,7,0.7000139041106539,0.2857142857142857,0.0,0.0,0.0
longstraight,1,0.6746935844421387,0.0,1.0,0.0,1.0
curve2,2,0.5886764331803248,0.5,0.0,0.5,0.0
middle_section,19,0.5164164186711424,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.2631578947368421
differentmu_road,5,0.4494562956015951,0.4,0.0,0.2,0.0
fix_road,6,0.42781223249110595,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666
