window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.18,40,0.6744322531897953,0.775,0.225,0.25,0.6838399711996317,0.8534788360614783,0.425,0.6744999960064888,1.0442499987781049,0.18985906146699563,0.05,0.075,0.0,0.95,0.975,1.0590927326145096,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.25,40,0.541548723404143,0.775,0.225,0.75,0.4567622680217028,1.0718704040778877,0.175,0.45999999791383744,0.3928749980404973,0.1822967965970747,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.32,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.40,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.50,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_direction_amp__fallback_rbf_conf_prod_lt_0.10,40,0.5652542480659658,0.775,0.225,0.75,0.49569264240562916,1.026703825674565,0.2,0.3923750028014183,0.4957500025629997,0.17886698122601957,0.05,0.1,0.1,0.95,0.975,0.7470965661257818,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_direction_amp__fallback_rbf_conf_prod_lt_0.18,40,0.5441329408124456,0.775,0.225,0.75,0.4264458555728197,1.1044561286865064,0.125,0.41637499779462817,0.39999999925494195,0.18020784304244444,0.05,0.075,0.0,0.95,0.975,0.7080953926407467,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_direction_amp__fallback_rbf_conf_prod_lt_0.25,40,0.530596727436094,0.775,0.225,0.75,0.4167122710496187,1.1040668878271058,0.125,0.42824999541044234,0.28437499720603227,0.18017889745533466,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_direction_amp__fallback_rbf_conf_prod_lt_0.32,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_direction_amp__fallback_rbf_conf_prod_lt_0.40,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
