oracle_best_index,oracle_best_model,oracle_sample_rmse,rbf_kernel_ridge_context_no_subject__sample_rmse,proto_combo_full__sample_rmse,proto_direction_amp__sample_rmse,proto_peak_tail__sample_rmse,proto_tail_correction__sample_rmse,proto_correction__sample_rmse,proto_amplitude__sample_rmse,sample_id,split
1,proto_combo_full,0.6291185,0.83484614,0.6291185,0.80046934,0.91277367,0.88514996,0.88927394,0.8718342,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000329785__pre3_label3_response_coverage,val
1,proto_combo_full,0.2571343,0.3551464,0.2571343,0.3695967,0.5331369,0.5729118,0.56539536,0.48758027,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000388180__pre3_label3_response_coverage,val
0,rbf_kernel_ridge_context_no_subject,0.34374702,0.34374702,0.39503315,0.5744978,0.78868014,0.82306015,0.8170737,0.8540122,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045__pre3_label3_response_coverage,train
1,proto_combo_full,0.3251478,0.33743438,0.3251478,0.53930086,0.63045496,0.5961616,0.6011702,0.57963985,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.0073422827,0.0073422827,0.07987527,0.1695395,0.09791731,0.097453274,0.23710747,0.10147917,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390__pre3_label3_response_coverage,train
1,proto_combo_full,0.40520757,0.60412365,0.40520757,0.5574972,1.2716804,1.2482334,1.2442956,1.303789,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845__pre3_label3_response_coverage,train
2,proto_direction_amp,0.091119505,0.104487285,0.12010549,0.091119505,0.20648037,0.21455523,0.26599428,0.18997556,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375__pre3_label3_response_coverage,train
1,proto_combo_full,0.24040043,0.43709537,0.24040043,0.24861993,0.9827565,0.9578838,0.9532666,1.0174507,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260__pre3_label3_response_coverage,test
1,proto_combo_full,0.9396064,0.99348843,0.9396064,1.0139978,1.2239795,1.2740587,1.2659357,1.1809001,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.45207408,0.45207408,0.7385228,0.7385228,1.2334865,1.2586756,1.2641902,1.4130394,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655__pre3_label3_response_coverage,train
1,proto_combo_full,0.4675508,0.5895392,0.4675508,0.4675508,1.2454621,1.2282346,1.2257341,1.0853261,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.15100467,0.15100467,0.21759742,0.3158412,0.21108519,0.21766551,0.21648604,0.2232134,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.35140517,0.35140517,0.46320754,0.5254452,0.7325918,0.784922,0.77708733,0.6944085,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.18431322,0.18431322,0.30248833,0.2567247,0.6814078,0.70920634,0.71498126,0.6703385,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.2552617,0.2552617,0.4431673,0.43095532,0.504468,0.5165505,0.52028155,0.575262,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.27533203,0.27533203,0.44766006,0.3197051,0.49784014,0.45071664,0.4549666,0.503975,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.2730564,0.2730564,1.1921606,1.0126846,1.6165831,1.5736694,1.5783138,1.6865748,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415__pre3_label3_response_coverage,train
5,proto_correction,0.09372878,0.10154416,0.12286526,0.099896766,0.23622184,0.14347643,0.09372878,0.20944813,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340__pre3_label3_response_coverage,train
2,proto_direction_amp,0.42732564,0.47415152,0.5234165,0.42732564,0.44789568,0.47136,0.47751984,0.45421764,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945__pre3_label3_response_coverage,train
4,proto_tail_correction,0.16886783,0.22463864,0.21874309,0.33068618,0.17084518,0.16886783,0.1979654,0.18742909,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210__pre3_label3_response_coverage,train
1,proto_combo_full,0.10360429,0.1302984,0.10360429,0.15191288,0.16596664,0.15934609,0.153549,0.18313172,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920__pre3_label3_response_coverage,train
5,proto_correction,0.22839847,0.44263792,1.2071525,1.2071525,0.25235996,0.23262547,0.22839847,0.3259909,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.3590277,0.3590277,0.46051332,0.45302436,1.1146195,1.1398609,1.1447666,1.0958815,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835__pre3_label3_response_coverage,train
1,proto_combo_full,0.5041277,0.5710827,0.5041277,0.62235105,0.97992235,1.0055192,1.0111958,0.9758572,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.40255773,0.40255773,0.7050258,0.49953222,0.7098788,0.6911848,0.68341815,0.71323985,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.1706415,0.1706415,0.20376536,0.36397204,0.4724542,0.4917588,0.4955435,0.54319346,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.15737459,0.15737459,0.29812497,0.2078697,0.3453785,0.3502817,0.39547712,0.3307035,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.51949924,0.51949924,0.7546258,0.7546258,1.2298609,1.2509911,1.2551297,1.4055325,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre3_label3_response_coverage,test
2,proto_direction_amp,0.49146828,0.63960946,0.63060236,0.49146828,0.58074194,0.59837615,0.6034046,0.57562923,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.28884906,0.28884906,0.46684602,0.42465726,0.52192044,0.5494897,0.554319,0.5180961,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.36934575,0.36934575,0.40204778,0.5629452,0.76483816,0.8130785,0.8053852,0.828044,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555__pre3_label3_response_coverage,test
2,proto_direction_amp,0.4725183,0.47861418,0.5228794,0.4725183,0.71724933,0.7402739,0.74561757,0.7105044,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440__pre3_label3_response_coverage,test
6,proto_amplitude,0.34608376,0.5106278,0.58770585,0.553108,0.38691673,0.4127723,0.4186377,0.34608376,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,1.0713049,1.0713049,1.1310503,1.1343509,1.4471822,1.4610337,1.464346,1.4263006,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,test
3,proto_peak_tail,0.3441651,0.51392895,0.47720757,0.46267644,0.3441651,0.34509787,0.42454633,0.3635777,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180__pre3_label3_response_coverage,test
2,proto_direction_amp,0.07936984,0.29655987,0.16868621,0.07936984,0.18352786,0.23597942,0.22773175,0.14990073,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940__pre3_label3_response_coverage,test
