oracle_best_index,oracle_best_model,oracle_sample_rmse,rbf_kernel_ridge_context_no_subject__sample_rmse,keypoint_residual_vehicle_transformer_no_subject__sample_rmse,topk_vehicle_transformer_branch0_no_subject__sample_rmse,topk_vehicle_transformer_branch1_no_subject__sample_rmse,topk_vehicle_transformer_branch2_no_subject__sample_rmse,proto_combo_full__sample_rmse,proto_direction_amp__sample_rmse,proto_peak_tail__sample_rmse,proto_tail_correction__sample_rmse,proto_correction__sample_rmse,proto_amplitude__sample_rmse,sample_id,split
0,rbf_kernel_ridge_context_no_subject,0.3582754,0.3582754,0.3760926,0.3655611,0.554833,0.44435212,0.5029984,0.5711291,0.7633681,0.8088787,0.80207664,0.72946745,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000309365__pre3_label3_response_coverage,val
3,topk_vehicle_transformer_branch1_no_subject,0.57155,0.83484614,0.794781,0.7715885,0.57155,0.9138136,0.6291185,0.80046934,0.91277367,0.88514996,0.88927394,0.8718342,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000329785__pre3_label3_response_coverage,val
5,proto_combo_full,0.2571343,0.3551464,0.4642359,0.31871054,0.54294044,0.27154762,0.2571343,0.3695967,0.5331369,0.5729118,0.56539536,0.48758027,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000388180__pre3_label3_response_coverage,val
0,rbf_kernel_ridge_context_no_subject,0.34374702,0.34374702,0.5359215,0.44542482,0.658076,0.43392575,0.39503315,0.5744978,0.78868014,0.82306015,0.8170737,0.8540122,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045__pre3_label3_response_coverage,train
3,topk_vehicle_transformer_branch1_no_subject,0.25140575,0.33743438,0.51157343,0.43461066,0.25140575,0.6210384,0.3251478,0.53930086,0.63045496,0.5961616,0.6011702,0.57963985,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.0073422827,0.0073422827,0.100426964,0.07535133,0.15865238,0.13996434,0.07987527,0.1695395,0.09791731,0.097453274,0.23710747,0.10147917,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390__pre3_label3_response_coverage,train
5,proto_combo_full,0.40520757,0.60412365,0.877349,0.5976451,0.4142465,0.83485645,0.40520757,0.5574972,1.2716804,1.2482334,1.2442956,1.303789,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845__pre3_label3_response_coverage,train
6,proto_direction_amp,0.091119505,0.104487285,0.5174403,0.20352973,0.37457567,0.19557956,0.12010549,0.091119505,0.20648037,0.21455523,0.26599428,0.18997556,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375__pre3_label3_response_coverage,train
5,proto_combo_full,0.24040043,0.43709537,0.5045611,0.35929316,0.45490405,0.44707516,0.24040043,0.24861993,0.9827565,0.9578838,0.9532666,1.0174507,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260__pre3_label3_response_coverage,test
2,topk_vehicle_transformer_branch0_no_subject,0.7972537,0.99348843,0.8386028,0.7972537,0.8826347,0.9240609,0.9396064,1.0139978,1.2239795,1.2740587,1.2659357,1.1809001,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,test
4,topk_vehicle_transformer_branch2_no_subject,0.37727284,0.45207408,0.66277033,0.6037075,0.83224267,0.37727284,0.7385228,0.7385228,1.2334865,1.2586756,1.2641902,1.4130394,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655__pre3_label3_response_coverage,train
5,proto_combo_full,0.4675508,0.5895392,0.93612224,0.5702325,0.56818444,0.7888817,0.4675508,0.4675508,1.2454621,1.2282346,1.2257341,1.0853261,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.15100467,0.15100467,0.59514284,0.40394565,0.18706192,0.63428265,0.21759742,0.3158412,0.21108519,0.21766551,0.21648604,0.2232134,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870__pre3_label3_response_coverage,test
1,keypoint_residual_vehicle_transformer_no_subject,0.25489378,0.35140517,0.25489378,0.427621,0.46345246,0.59054923,0.46320754,0.5254452,0.7325918,0.784922,0.77708733,0.6944085,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.18431322,0.18431322,0.29635054,0.35758653,0.4564196,0.4104229,0.30248833,0.2567247,0.6814078,0.70920634,0.71498126,0.6703385,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.2552617,0.2552617,0.31459618,0.34626403,0.46677685,0.36468527,0.4431673,0.43095532,0.504468,0.5165505,0.52028155,0.575262,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485__pre3_label3_response_coverage,train
4,topk_vehicle_transformer_branch2_no_subject,0.15470566,0.27533203,0.26706594,0.28246278,0.5696065,0.15470566,0.44766006,0.3197051,0.49784014,0.45071664,0.4549666,0.503975,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.2730564,0.2730564,1.1342709,0.756459,0.9925781,0.6490312,1.1921606,1.0126846,1.6165831,1.5736694,1.5783138,1.6865748,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415__pre3_label3_response_coverage,train
3,topk_vehicle_transformer_branch1_no_subject,0.091348805,0.10154416,0.20444345,0.13014615,0.091348805,0.39047146,0.12286526,0.099896766,0.23622184,0.14347643,0.09372878,0.20944813,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340__pre3_label3_response_coverage,train
3,topk_vehicle_transformer_branch1_no_subject,0.40012473,0.47415152,0.49860534,0.46163574,0.40012473,0.62474555,0.5234165,0.42732564,0.44789568,0.47136,0.47751984,0.45421764,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945__pre3_label3_response_coverage,train
1,keypoint_residual_vehicle_transformer_no_subject,0.1542684,0.22463864,0.1542684,0.20220016,0.39000025,0.18202165,0.21874309,0.33068618,0.17084518,0.16886783,0.1979654,0.18742909,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210__pre3_label3_response_coverage,train
2,topk_vehicle_transformer_branch0_no_subject,0.10112696,0.1302984,0.30575168,0.10112696,0.33550036,0.31821233,0.10360429,0.15191288,0.16596664,0.15934609,0.153549,0.18313172,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920__pre3_label3_response_coverage,train
9,proto_correction,0.22839847,0.44263792,0.4888915,0.5688156,0.8580332,0.27682194,1.2071525,1.2071525,0.25235996,0.23262547,0.22839847,0.3259909,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.3590277,0.3590277,0.5826301,0.58017665,0.78199446,0.39120206,0.46051332,0.45302436,1.1146195,1.1398609,1.1447666,1.0958815,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835__pre3_label3_response_coverage,train
4,topk_vehicle_transformer_branch2_no_subject,0.46135798,0.5710827,0.8714915,0.74003035,1.0847834,0.46135798,0.5041277,0.62235105,0.97992235,1.0055192,1.0111958,0.9758572,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790__pre3_label3_response_coverage,train
4,topk_vehicle_transformer_branch2_no_subject,0.27188802,0.40255773,0.38885358,0.49851996,0.7747762,0.27188802,0.7050258,0.49953222,0.7098788,0.6911848,0.68341815,0.71323985,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.1706415,0.1706415,0.25103074,0.38851994,0.61430246,0.19263944,0.20376536,0.36397204,0.4724542,0.4917588,0.4955435,0.54319346,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140__pre3_label3_response_coverage,train
3,topk_vehicle_transformer_branch1_no_subject,0.06696572,0.15737459,0.66565084,0.25827563,0.06696572,0.46989188,0.29812497,0.2078697,0.3453785,0.3502817,0.39547712,0.3307035,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385__pre3_label3_response_coverage,train
2,topk_vehicle_transformer_branch0_no_subject,0.5046865,0.51949924,0.6648211,0.5046865,0.61147124,0.7754164,0.7546258,0.7546258,1.2298609,1.2509911,1.2551297,1.4055325,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre3_label3_response_coverage,test
3,topk_vehicle_transformer_branch1_no_subject,0.42444742,0.63960946,0.48639357,0.545952,0.42444742,0.69635636,0.63060236,0.49146828,0.58074194,0.59837615,0.6034046,0.57562923,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.28884906,0.28884906,0.38837352,0.6514747,0.57640934,0.9731037,0.46684602,0.42465726,0.52192044,0.5494897,0.554319,0.5180961,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240__pre3_label3_response_coverage,test
2,topk_vehicle_transformer_branch0_no_subject,0.35920355,0.36934575,0.46374926,0.35920355,0.5587616,0.389884,0.40204778,0.5629452,0.76483816,0.8130785,0.8053852,0.828044,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555__pre3_label3_response_coverage,test
6,proto_direction_amp,0.4725183,0.47861418,0.53311914,0.5643399,0.70667416,0.57909,0.5228794,0.4725183,0.71724933,0.7402739,0.74561757,0.7105044,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440__pre3_label3_response_coverage,test
3,topk_vehicle_transformer_branch1_no_subject,0.3229507,0.5106278,0.3724555,0.48001933,0.3229507,0.7610262,0.58770585,0.553108,0.38691673,0.4127723,0.4186377,0.34608376,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460__pre3_label3_response_coverage,test
4,topk_vehicle_transformer_branch2_no_subject,1.057249,1.0713049,1.0947202,1.1053821,1.1853656,1.057249,1.1310503,1.1343509,1.4471822,1.4610337,1.464346,1.4263006,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,test
7,proto_peak_tail,0.3441651,0.51392895,0.36306888,0.4086521,0.351267,0.42137232,0.47720757,0.46267644,0.3441651,0.34509787,0.42454633,0.3635777,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180__pre3_label3_response_coverage,test
6,proto_direction_amp,0.07936984,0.29655987,0.45911792,0.34000757,0.5137492,0.2107298,0.16868621,0.07936984,0.18352786,0.23597942,0.22773175,0.14990073,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.30120876,0.30120876,0.6024727,0.4282253,0.46048033,0.61162734,0.496119,0.30300725,1.0485739,1.0934954,1.0885981,1.1364883,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490__pre3_label3_response_coverage,train
5,proto_combo_full,0.1956687,0.3706358,0.4333716,0.3736929,0.21123995,0.5877707,0.1956687,0.26014003,0.33513534,0.29667154,0.3030037,0.37351942,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.47253588,0.47253588,0.60019,0.531964,0.6674723,0.6138747,0.54239255,0.4995478,0.59827834,0.6201322,0.6246842,0.59542906,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480__pre3_label3_response_coverage,train
6,proto_direction_amp,0.27807832,0.35855603,0.28491718,0.34523258,0.5524106,0.32654873,0.30199507,0.27807832,0.7349719,0.76070803,0.76646376,0.7187181,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055__pre3_label3_response_coverage,train
3,topk_vehicle_transformer_branch1_no_subject,0.2973403,0.5689505,0.609033,0.50137126,0.2973403,0.6744964,0.68888927,0.4894559,0.48387447,0.4803083,0.482031,0.5179922,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.25521904,0.25521904,0.492812,0.50532794,0.7778521,0.34168524,0.41935012,0.49670103,0.52044904,0.5246896,0.5222507,0.49831057,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825__pre3_label3_response_coverage,train
1,keypoint_residual_vehicle_transformer_no_subject,0.17594357,0.36668804,0.17594357,0.17980486,0.3036089,0.325469,0.36085144,0.24727905,0.4478721,0.39799726,0.40270954,0.45910507,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605__pre3_label3_response_coverage,test
5,proto_combo_full,0.29635835,0.32304978,0.45815638,0.81816614,0.7327505,1.1643623,0.29635835,0.39450958,0.7713429,0.79202664,0.7951879,0.7308274,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695__pre3_label3_response_coverage,test
9,proto_correction,0.10457426,0.17232157,0.1082926,0.11728639,0.1809728,0.30361292,0.29743952,0.3346907,0.13837087,0.13725594,0.10457426,0.1536531,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880__pre3_label3_response_coverage,test
4,topk_vehicle_transformer_branch2_no_subject,0.49052843,0.6568684,0.9332981,0.5998153,0.7235567,0.49052843,0.5709304,0.6384612,0.60681707,0.6022211,0.612734,0.5878671,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre3_label3_response_coverage,test
4,topk_vehicle_transformer_branch2_no_subject,0.31531045,0.35762912,0.4953814,0.55131143,0.84425604,0.31531045,0.39675,0.45393786,0.7956012,0.81519204,0.81765777,0.76732737,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260__pre3_label3_response_coverage,test
5,proto_combo_full,0.38272703,0.66069776,0.86754286,0.88874507,0.63424486,1.1464758,0.38272703,0.55398357,1.3004187,1.2777514,1.2735047,1.3381763,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,test
2,topk_vehicle_transformer_branch0_no_subject,0.4022406,0.657525,0.58531946,0.4022406,0.46039623,0.6049765,0.59903586,0.60471755,0.75819373,0.7985436,0.7939308,0.7441217,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,test
1,keypoint_residual_vehicle_transformer_no_subject,0.2251144,0.37773642,0.2251144,0.58157194,0.60428727,0.6869714,0.4099825,0.2956206,0.60178006,0.5734348,0.56525373,0.59738505,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.19699311,0.19699311,0.3973613,0.34963357,0.5671129,0.25528878,0.24358976,0.22160508,0.81693256,0.8443516,0.8501006,0.77103513,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.2477251,0.2477251,0.43757808,0.36716178,0.5765922,0.3049126,0.51532423,0.51532423,0.94605935,0.97365737,0.97974557,1.121171,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.2498363,0.2498363,0.49498332,0.4385465,0.38733503,0.5904925,0.37768087,0.5150474,0.98981273,0.9616774,0.9559297,1.0568404,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.08940011,0.08940011,0.20316479,0.22333033,0.39916804,0.28130206,0.42637914,0.24290302,0.8445181,0.8196373,0.8128942,0.85901034,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515__pre3_label3_response_coverage,train
6,proto_direction_amp,0.21117881,0.28908187,0.2740884,0.21241094,0.3994624,0.29561248,0.25822228,0.21117881,0.88883376,0.91305023,0.9188323,0.86607176,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.2561657,0.2561657,0.37086397,0.3503083,0.40120968,0.4084903,0.30703545,0.31905073,0.7169363,0.7726573,0.76539683,0.8041725,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360__pre3_label3_response_coverage,train
4,topk_vehicle_transformer_branch2_no_subject,0.31762293,0.48824212,0.5391311,0.57562214,0.8493614,0.31762293,0.409322,0.49124196,0.8456834,0.8636452,0.86652195,0.8173387,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300__pre3_label3_response_coverage,train
5,proto_combo_full,0.11438941,0.15416946,0.23551564,0.30961058,0.570748,0.16691566,0.11438941,0.15628399,0.52802175,0.5546018,0.5597693,0.5132557,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885__pre3_label3_response_coverage,train
5,proto_combo_full,0.17134126,0.17678432,0.3192146,0.2903034,0.48133594,0.24315847,0.17134126,0.24037878,0.6511603,0.6762476,0.6806336,0.63110423,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.26457497,0.26457497,0.5034466,0.47372895,0.68871427,0.2875023,0.3524895,0.35151783,1.0534389,1.0778816,1.0831748,1.0285882,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.27901196,0.27901196,0.3809073,0.2882228,0.5011267,0.34131217,0.38874185,0.3855832,0.6997753,0.7160773,0.71893936,0.6689002,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000176245__pre3_label3_response_coverage,test
4,topk_vehicle_transformer_branch2_no_subject,0.3337097,0.5038023,0.55599385,0.520302,0.8616364,0.3337097,0.39000878,0.4375584,1.1075181,1.1300021,1.1344968,1.0802944,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.23600979,0.23600979,0.26976085,0.28984594,0.37332398,0.37010586,0.35843545,0.30425298,0.6391741,0.6589796,0.66309816,0.61703926,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000246255__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.4599532,0.4599532,0.606501,0.64623874,0.63301164,0.6976606,0.6963067,0.6963067,0.8434569,0.8258986,0.8237164,0.63646615,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.3613468,0.3613468,0.3869812,0.47004265,0.6587856,0.41769847,0.49224895,0.45665863,0.6038064,0.57175374,0.57460815,0.6177044,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000345860__pre3_label3_response_coverage,test
5,proto_combo_full,0.46490455,0.7811084,0.7204191,0.7556464,1.0693607,0.55199516,0.46490455,0.57178193,0.97659916,0.9987884,1.0015333,0.9168648,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000240445__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.30207458,0.30207458,1.0645533,0.7340753,0.92402,0.73015547,0.96735287,0.96735287,1.3684897,1.3544863,1.3513832,1.3387088,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000414405__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.04680604,0.04680604,0.19915026,0.06796759,0.1755484,0.15783438,0.090995036,0.09324763,0.20082363,0.20158008,0.117678896,0.19049312,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000547665__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.4173554,0.4173554,0.5397714,0.70148706,0.9220109,0.51791114,1.0029553,1.0029553,1.0427272,1.0209899,1.0146879,1.0489981,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.110144734,0.110144734,0.34395835,0.2846635,0.26914865,0.5072921,0.3632801,0.495088,1.1035392,1.065636,0.9196573,1.1674237,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000500270__pre3_label3_response_coverage,train
4,topk_vehicle_transformer_branch2_no_subject,0.08349061,0.105435945,0.38103992,0.11143181,0.22063328,0.08349061,0.20062302,0.2593123,0.13158174,0.13115379,0.20708217,0.14601454,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000535550__pre3_label3_response_coverage,train
