window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,rbf_ref_rmse,rbf_ref_wrong_side,rbf_ref_large_recall,rbf_ref_difficult_rmse,rmse_delta_vs_rbf,wrong_side_delta_vs_rbf,large_recall_delta_vs_rbf,difficult_rmse_delta_vs_rbf
pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,40,0.5489931559590873,0.875,0.125,0.875,0.4458379678428173,1.2282933248850298,0.2,0.4764999940991402,0.8447499964386225,0.19533092991332524,0.075,0.6,0.025,0.95,0.0,0.7288581959265881,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.015326466520130255,-0.1,0.125,0.0499512315889975
pre3_label3_response_coverage,session_level_split,test,proto_amplitude,40,0.759221230633585,0.725,0.275,0.0,0.9986907109618187,0.18463320659728896,0.975,0.4328749880194664,2.087750004604459,0.18277475486975164,0.05,0.35,0.025,0.95,0.6,1.2149243305387813,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.22555454119462803,0.05000000000000002,-0.75,0.5360173662011908
pre3_label3_response_coverage,session_level_split,test,proto_combo_full,40,0.5930580827463428,0.925,0.075,0.75,0.468330293148756,1.0968410016887358,0.2,0.3119999960064888,0.5807499997317791,0.18328497294569387,0.05,0.05,0.05,0.95,1.0,0.7069502330784057,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.05939139330738574,-0.15000000000000002,0.0,0.028043268740815086
pre3_label3_response_coverage,session_level_split,test,proto_correction,40,0.7773362000594561,0.6,0.4,0.0,1.0393917761743068,0.1919212709548441,0.9,0.9447500079870224,2.325375001691282,0.18983159200579394,0.075,0.05,0.0,0.95,0.975,1.2275081970481017,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.24366951062049913,0.17500000000000002,-0.75,0.5486012327105111
pre3_label3_response_coverage,session_level_split,test,proto_direction_amp,40,0.5683414966637611,0.925,0.075,0.75,0.5293337941169739,0.9387791704148715,0.275,0.3106250002980232,0.6326250027865171,0.18141848808154465,0.05,0.05,0.15,0.95,1.0,0.7470965661257818,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.034674807224804094,-0.15000000000000002,0.0,0.06818960178819122
pre3_label3_response_coverage,session_level_split,test,proto_peak_tail,40,0.764302556835923,0.575,0.425,0.0,1.029629197344184,0.1816268003853439,0.95,0.962875010073185,2.2295000023208558,0.18831150112091563,0.075,0.05,0.0,0.95,1.0,1.1987519953498214,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.23063586739696595,0.19999999999999998,-0.75,0.5198450310122308
pre3_label3_response_coverage,session_level_split,test,proto_tail_correction,40,0.7765015233037151,0.6,0.4,0.0,1.0368957936763763,0.18147574068295208,0.95,0.941375008225441,2.442000000551343,0.1853811874985695,0.075,0.05,0.025,0.95,0.95,1.2265558452111598,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.24283483386475813,0.17500000000000002,-0.75,0.5476488808735692
pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.0,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,response_factorized_oracle,40,0.44021698904844886,0.95,0.05,0.75,0.4631945826113224,0.7127340912208209,0.35,0.3115000054240227,0.6826249988749623,0.18019484146789183,0.075,0.05,0.05,0.95,0.95,0.6424419366151947,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,-0.09344970039050815,-0.175,0.0,-0.036465027722395904
pre3_label3_response_coverage,session_level_split,test,response_factorized_plus_existing_oracle,40,0.3881187413210413,0.95,0.05,0.875,0.3193825840950012,0.8469550406491813,0.15,0.3022500053048134,0.43262499924749137,0.2377807021868648,0.1,0.1,0.15,0.95,0.75,0.6042752687047905,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,-0.14554794811791572,-0.175,0.125,-0.07463169563280003
