split,sample_id,oracle_winner_model,oracle_sample_rmse,pool_name,rbf_sample_rmse,wrong_side,is_large_response,severe_amp_under,tail_drift_risk,oracle_gain_vs_rbf
test,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505__pre3_label3_response_coverage,ridge_rich_history_no_subject,0.4031884968280792,oracle_broad_vehicle_pool,1.1559497117996216,1,0,0,0,0.7527612149715424
test,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680__pre3_label3_response_coverage,direction_gated_knn_template_no_subject,0.2515956163406372,oracle_broad_vehicle_pool,0.9599702954292296,1,0,0,0,0.7083746790885924
test,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000353905__pre3_label3_response_coverage,topk_vehicle_transformer_branch1_no_subject,0.2057723551988601,oracle_broad_vehicle_pool,0.7573572397232056,0,0,0,0,0.5515848845243454
test,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,peak_scaled_template_context_no_subject,0.6830305457115173,oracle_broad_vehicle_pool,0.9934884309768676,0,1,1,0,0.31045788526535023
test,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,topk_vehicle_transformer_branch0_no_subject,0.4022319912910461,oracle_broad_vehicle_pool,0.6575250029563904,1,0,1,0,0.2552930116653443
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre3_label3_response_coverage,topk_vehicle_transformer_branch1_no_subject,0.4244577288627624,oracle_broad_vehicle_pool,0.6396094560623169,0,0,0,0,0.2151517271995545
test,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580__pre3_label3_response_coverage,direction_gated_knn_template_no_subject,0.2172150760889053,oracle_broad_vehicle_pool,0.4272091090679168,0,0,1,0,0.2099940329790115
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460__pre3_label3_response_coverage,ridge_rich_history_no_subject,0.3085518777370453,oracle_broad_vehicle_pool,0.510627806186676,0,0,0,0,0.20207592844963074
test,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.1759395897388458,oracle_broad_vehicle_pool,0.3666880428791046,0,0,0,0,0.19074845314025882
test,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000471655__pre3_label3_response_coverage,ridge_rich_context_no_subject,0.383153885602951,oracle_broad_vehicle_pool,0.5553957223892212,0,0,0,0,0.1722418367862702
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre3_label3_response_coverage,topk_vehicle_transformer_branch2_no_subject,0.3337111175060272,oracle_broad_vehicle_pool,0.5038022994995117,0,1,0,0,0.1700911819934845
test,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre3_label3_response_coverage,topk_vehicle_transformer_branch2_no_subject,0.4905034303665161,oracle_broad_vehicle_pool,0.6568683981895447,1,0,1,0,0.16636496782302856
test,vehicle_instability_allraw__zxy__2025_09_28_15_57_38__000182350__pre3_label3_response_coverage,topk_vehicle_transformer_branch0_no_subject,0.1563608646392822,oracle_broad_vehicle_pool,0.3201940357685089,0,0,0,0,0.1638331711292267
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180__pre3_label3_response_coverage,topk_vehicle_transformer_branch1_no_subject,0.3512720167636871,oracle_broad_vehicle_pool,0.5139289498329163,1,0,0,0,0.16265693306922918
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440__pre3_label3_response_coverage,knn_template_context_no_subject,0.3160971105098724,oracle_broad_vehicle_pool,0.4786141812801361,0,0,0,0,0.16251707077026373
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940__pre3_label3_response_coverage,knn_template_context_no_subject,0.1362061500549316,oracle_broad_vehicle_pool,0.2965598702430725,0,0,0,1,0.1603537201881409
test,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505__pre3_label3_response_coverage,peak_scaled_template_context_no_subject,0.1933351904153823,oracle_broad_vehicle_pool,0.3514051735401153,0,0,0,0,0.158069983124733
test,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.2251154631376266,oracle_broad_vehicle_pool,0.3777364194393158,0,0,0,0,0.1526209563016892
test,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000467085__pre3_label3_response_coverage,knn_template_context_no_subject,0.1253492832183838,oracle_broad_vehicle_pool,0.2413583099842071,0,0,0,0,0.11600902676582331
test,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000484470__pre3_label3_response_coverage,ridge_rich_context_no_subject,0.1741474866867065,oracle_broad_vehicle_pool,0.2895223498344421,0,0,0,0,0.1153748631477356
test,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre3_label3_response_coverage,topk_vehicle_transformer_branch2_no_subject,0.5697490572929382,oracle_broad_vehicle_pool,0.6746935844421387,0,1,0,0,0.10494452714920044
test,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000020450__pre3_label3_response_coverage,topk_vehicle_transformer_branch0_no_subject,0.348395973443985,oracle_broad_vehicle_pool,0.4462907612323761,1,0,0,0,0.09789478778839111
test,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260__pre3_label3_response_coverage,topk_vehicle_transformer_branch0_no_subject,0.3592841625213623,oracle_broad_vehicle_pool,0.4370953738689422,0,0,0,0,0.0778112113475799
test,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880__pre3_label3_response_coverage,peak_scaled_template_context_no_subject,0.1004087403416633,oracle_broad_vehicle_pool,0.1723215728998184,1,0,0,1,0.07191283255815509
test,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315__pre3_label3_response_coverage,topk_vehicle_transformer_branch0_no_subject,0.177450492978096,oracle_broad_vehicle_pool,0.2432198077440261,0,0,0,0,0.06576931476593009
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390__pre3_label3_response_coverage,knn_template_context_no_subject,0.4033550024032593,oracle_broad_vehicle_pool,0.4599531888961792,0,0,0,0,0.05659818649291992
test,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695__pre3_label3_response_coverage,knn_template_context_no_subject,0.2681387066841125,oracle_broad_vehicle_pool,0.323049783706665,0,0,0,0,0.05491107702255249
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555__pre3_label3_response_coverage,knn_template_context_no_subject,0.32390296459198,oracle_broad_vehicle_pool,0.3693457245826721,0,0,0,0,0.04544275999069214
test,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260__pre3_label3_response_coverage,topk_vehicle_transformer_branch2_no_subject,0.3152351677417755,oracle_broad_vehicle_pool,0.357629120349884,0,0,0,0,0.042393952608108465
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000345860__pre3_label3_response_coverage,ridge_rich_history_no_subject,0.3253107666969299,oracle_broad_vehicle_pool,0.3613468110561371,0,0,0,0,0.03603604435920721
test,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,topk_vehicle_transformer_branch1_no_subject,0.6342898011207581,oracle_broad_vehicle_pool,0.6606977581977844,0,1,0,0,0.026407957077026367
