window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id
pre3_label3_response_coverage,session_level_split,test,topk_vehicle_transformer_branch1_no_subject,40,0.5896039473554407,0.975,0.025,0.75,0.4795223880559206,1.277741517373355,0.15,0.36850001066923144,0.5598750006873161,0.2731554269674234,0.1,0.075,0.2,0.95,0.475,0.840132278379715,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,topk_vehicle_transformer_branch2_no_subject,40,0.6852535646207177,0.85,0.15,0.625,0.5808885291218757,1.5931790319568333,0.2,0.49000000208616257,0.4250000002095476,0.4551352670416236,0.325,0.175,0.2,0.95,0.575,0.7227680027959508,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,40,0.566011200471459,0.775,0.225,0.625,0.5508254997432231,0.9638105479674373,0.3,0.5376249924302101,0.8521249985322357,0.2988018655683845,0.175,0.275,0.05,0.95,0.0,0.7705063470520028,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,direction_gated_knn_template_no_subject,188,2.701096476101991e-07,1.0,0.0,1.0,2.4441272971477913e-07,0.9999999397160947,0.0,0.0009574477976941033,0.0,9.303349020712554e-08,0.0,0.005319148936170213,1.0,0.925531914893617,0.925531914893617,4.3380595244064943e-07,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,keypoint_residual_vehicle_transformer_no_subject,188,0.5636982979330317,0.8617021276595744,0.13829787234042554,0.723404255319149,0.5106489430478913,1.3241025013675907,0.19680851063829788,0.5098404274817477,0.7170212739642631,0.1771853340800822,0.09574468085106383,0.48404255319148937,0.0425531914893617,0.925531914893617,0.0,0.9067574083314025,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,knn_template_context_no_subject,188,5.033755526144247e-07,1.0,0.0,1.0,5.559946232019586e-07,0.9999996065211998,0.0,0.009042553128080165,0.0,1.5088478400510676e-07,0.0,0.015957446808510637,1.0,0.925531914893617,0.925531914893617,7.631298235109923e-07,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,oracle_broad_vehicle_pool,188,2.5404546674295864e-07,1.0,0.0,1.0,2.419853464086005e-07,0.9999999881634589,0.0,0.002047872923790139,0.0,8.573183452987924e-08,0.0,0.010638297872340425,1.0,0.925531914893617,0.925531914893617,4.2667477132204737e-07,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,oracle_rbf_plus_keypoint,188,0.32699310393719505,0.9361702127659575,0.06382978723404255,0.9361702127659575,0.31193521182904854,0.9537313120377144,0.026595744680851064,0.29742020645991285,0.21143616827085931,0.10846045906517708,0.015957446808510637,0.10106382978723404,0.06914893617021277,0.925531914893617,0.8829787234042553,0.5183842530202906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,oracle_rbf_plus_topk3,188,0.28388444766850024,0.9308510638297872,0.06914893617021277,0.9574468085106383,0.26440471561348183,0.9468256806176012,0.015957446808510637,0.3338563787017731,0.2200797867584736,0.19280489646553178,0.10106382978723404,0.09574468085106383,0.15425531914893617,0.925531914893617,0.8138297872340425,0.4570125045785581,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,oracle_topk3_only,188,0.3458470648980022,0.9042553191489362,0.09574468085106383,0.8723404255319149,0.31067234935595633,1.0976018486785681,0.0797872340425532,0.4314893657698276,0.3598138322320549,0.3273127251670032,0.2127659574468085,0.13297872340425532,0.22872340425531915,0.925531914893617,0.5797872340425532,0.544943191374187,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,peak_scaled_template_context_no_subject,188,0.04764675507813923,1.0,0.0,1.0,0.006825022790779142,0.9986381108691744,0.0,0.0007446814090647586,0.0003989361860650649,0.0006553798627871225,0.0,0.005319148936170213,1.0,0.925531914893617,0.925531914893617,0.10597915567785414,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,188,0.33011095985179567,0.9414893617021277,0.05851063829787234,0.9148936170212766,0.3130859541607664,0.9549159427900055,0.02127659574468085,0.30026595286549407,0.19082446689618396,0.10480268023124188,0.015957446808510637,0.06382978723404255,0.06914893617021277,0.925531914893617,0.9680851063829787,0.520692098776021,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,ridge_rich_context_no_subject,188,0.5362762284801309,0.8617021276595744,0.13829787234042554,0.3191489361702128,0.5608384449906806,1.1621931850217224,0.3191489361702128,0.47140957771780645,0.3548670251298934,0.14756642836262937,0.05851063829787234,0.09574468085106383,0.005319148936170213,0.925531914893617,1.0,0.8754664077643332,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,ridge_rich_history_no_subject,188,0.5717357606757415,0.8031914893617021,0.19680851063829788,0.2553191489361702,0.5729388663188574,1.1906246104383478,0.3191489361702128,0.46792553309747514,0.3717287251468193,0.14848620853762381,0.05851063829787234,0.0851063829787234,0.005319148936170213,0.925531914893617,1.0,0.9138091086505405,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,188,0.3966035141304344,0.9308510638297872,0.06914893617021277,0.9148936170212766,0.3526282243509876,0.9950400901863682,0.047872340425531915,0.33348403736314874,0.27917553107947746,0.12105004263789751,0.015957446808510637,0.22340425531914893,0.07446808510638298,0.925531914893617,0.6808510638297872,0.6210365625153759,B_response3s_strict_core
