split,sample_id,oracle_winner_model,oracle_sample_rmse,pool_name
test,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.8386187553405762,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.4520740807056427,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.5895391702651978,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.151004672050476,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.2548958957195282,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.1843132227659225,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.2552616894245147,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.2670596241950989,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.2730563879013061,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.1015441566705703,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.4741515219211578,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.1542649120092392,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.1302984058856964,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.4426379203796386,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.3590276837348938,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.5710827112197876,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.3888565599918365,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.1706414967775344,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.1573745906352996,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.5194991827011108,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.4863907992839813,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.2888490557670593,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.3693457245826721,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.4786141812801361,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.3724461495876312,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,1.0713049173355105,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.3630664050579071,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.2965598702430725,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.3012087643146515,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.3706357777118683,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.4725358784198761,oracle_rbf_plus_keypoint
