feature_set,k,group_family,group_label,sample_count,rmse,tail_rmse,under_amp_rate,severe_under_amp_rate,opposite_peak_rate,model_id,label_scheme,prototype_mode,classifier_c,alpha,residual_scale
真实响应类型,0,subj,cwh,171,0.4500918765143867,0.47980266135752375,0.1871345029239766,0.03508771929824561,0.18128654970760233,G16O_真实响应类型原型上限,方向幅值,真实类型硬原型,,,
真实响应类型,0,subj,gf,267,0.513358835375097,0.5553470936774761,0.26591760299625467,0.0749063670411985,0.16104868913857678,G16O_真实响应类型原型上限,方向幅值,真实类型硬原型,,,
真实响应类型,0,subj,tyy,311,0.5952602123895546,0.6436006839250864,0.26366559485530544,0.09003215434083602,0.12861736334405144,G16O_真实响应类型原型上限,方向幅值,真实类型硬原型,,,
真实响应类型,0,eval_morphology_label,multi_correction,391,0.5315110193484504,0.5462259819035602,0.2659846547314578,0.08184143222506395,0.1636828644501279,G16O_真实响应类型原型上限,方向幅值,真实类型硬原型,,,
真实响应类型,0,eval_morphology_label,reverse_correction,247,0.5299263431837684,0.5885589194478399,0.2631578947368421,0.08097165991902834,0.17408906882591094,G16O_真实响应类型原型上限,方向幅值,真实类型硬原型,,,
真实响应类型,0,eval_morphology_label,single_lobe,111,0.5445570328885371,0.6444624304217664,0.14414414414414414,0.018018018018018018,0.06306306306306306,G16O_真实响应类型原型上限,方向幅值,真实类型硬原型,,,
真实响应类型,0,true_peak_abs_bin,large_>=0.3,655,0.585731534654175,0.631419812546659,0.233587786259542,0.06259541984732825,0.16793893129770993,G16O_真实响应类型原型上限,方向幅值,真实类型硬原型,,,
真实响应类型,0,true_peak_abs_bin,medium_0.1-0.3,91,0.169351804796811,0.18507195188367104,0.3516483516483517,0.14285714285714285,0.04395604395604396,G16O_真实响应类型原型上限,方向幅值,真实类型硬原型,,,
真实响应类型,0,true_peak_abs_bin,tiny_<0.1,3,0.031092182422677677,0.02073898841626942,0.0,0.0,0.0,G16O_真实响应类型原型上限,方向幅值,真实类型硬原型,,,
真实响应类型,0,phase_type,primary,248,0.5248261990641514,0.5657895959936262,0.25806451612903225,0.07258064516129033,0.14516129032258066,G16O_真实响应类型原型上限,方向幅值,真实类型硬原型,,,
真实响应类型,0,phase_type,secondary,501,0.5369292387512035,0.5791774890185734,0.24151696606786427,0.0718562874251497,0.15568862275449102,G16O_真实响应类型原型上限,方向幅值,真实类型硬原型,,,
真实响应类型,0,road_type_anchor,curve,279,0.5731671648867775,0.6486629740632136,0.16845878136200718,0.04659498207885305,0.13620071684587814,G16O_真实响应类型原型上限,方向幅值,真实类型硬原型,,,
真实响应类型,0,road_type_anchor,straight,470,0.5090315042103225,0.5308654724278468,0.2936170212765957,0.08723404255319149,0.16170212765957448,G16O_真实响应类型原型上限,方向幅值,真实类型硬原型,,,
触发前车辆和事件信息,0,subj,cwh,171,0.4674439570207519,0.5105260707906376,0.3742690058479532,0.17543859649122806,0.2046783625730994,G16A_预测响应类型硬原型,方向幅值,预测类型硬原型,0.2,,
触发前车辆和事件信息,0,subj,gf,267,0.5079313680557499,0.5586749984837427,0.38202247191011235,0.14606741573033707,0.16853932584269662,G16A_预测响应类型硬原型,方向幅值,预测类型硬原型,0.2,,
触发前车辆和事件信息,0,subj,tyy,311,0.6396290941756829,0.6955769479610145,0.42443729903536975,0.22186495176848875,0.1832797427652733,G16A_预测响应类型硬原型,方向幅值,预测类型硬原型,0.2,,
触发前车辆和事件信息,0,eval_morphology_label,multi_correction,391,0.5304087620809712,0.5711675805713782,0.40153452685422,0.17902813299232737,0.1867007672634271,G16A_预测响应类型硬原型,方向幅值,预测类型硬原型,0.2,,
触发前车辆和事件信息,0,eval_morphology_label,reverse_correction,247,0.5731553457270147,0.6291344841048574,0.47368421052631576,0.23481781376518218,0.19838056680161945,G16A_预测响应类型硬原型,方向幅值,预测类型硬原型,0.2,,
