feature_set,label_scheme,prototype_count,prototype_min_count,prototype_max_count,class_count,classifier_c,val_label_accuracy,val_label_macro_f1,test_label_accuracy,test_label_macro_f1
触发前车辆和事件信息,方向幅值,7,14,2081,7,0.2,0.546242774566474,0.29059482067643744,0.5527369826435247,0.3213580225529498
触发前车辆和事件信息,方向幅值,7,14,2081,7,1.0,0.5606936416184971,0.27985880235454574,0.5994659546061415,0.33840791395645464
触发前车辆和事件信息,方向幅值,7,14,2081,7,5.0,0.5794797687861272,0.3101140249694149,0.6074766355140186,0.34167880290460245
触发前车辆事件加连续风格,方向幅值,7,14,2081,7,0.2,0.5274566473988439,0.2605175444273827,0.5353805073431241,0.3385028031990954
触发前车辆事件加连续风格,方向幅值,7,14,2081,7,1.0,0.5534682080924855,0.27388790143064734,0.5861148197596796,0.37804256413431986
触发前车辆事件加连续风格,方向幅值,7,14,2081,7,5.0,0.5679190751445087,0.2791584294146941,0.6088117489986649,0.3683591170357144
触发前车辆事件加连续风格和肌电,方向幅值,7,14,2081,7,0.2,0.5289017341040463,0.26059618437494997,0.540720961281709,0.341683885809117
触发前车辆事件加连续风格和肌电,方向幅值,7,14,2081,7,1.0,0.5491329479768786,0.2738911833487513,0.5887850467289719,0.3708602284073053
触发前车辆事件加连续风格和肌电,方向幅值,7,14,2081,7,5.0,0.5664739884393064,0.28080271880131136,0.6101468624833111,0.3886437517525261
触发前车辆和事件信息,方向幅值形态,20,2,1094,22,0.2,0.29335260115606937,0.09552783542076208,0.27903871829105475,0.13076911134995073
触发前车辆和事件信息,方向幅值形态,20,2,1094,22,1.0,0.31358381502890176,0.10475561892495913,0.3097463284379172,0.1589667669602822
触发前车辆和事件信息,方向幅值形态,20,2,1094,22,5.0,0.3222543352601156,0.1051672885651318,0.3190921228304406,0.17622532211065006
触发前车辆事件加连续风格,方向幅值形态,20,2,1094,22,0.2,0.273121387283237,0.09452787418545983,0.27636849132176233,0.125200551311833
触发前车辆事件加连续风格,方向幅值形态,20,2,1094,22,1.0,0.27890173410404623,0.09639327235954932,0.2937249666221629,0.1409460733922769
触发前车辆事件加连续风格,方向幅值形态,20,2,1094,22,5.0,0.2832369942196532,0.09392390206862232,0.31241655540720964,0.16680499185939576
触发前车辆事件加连续风格和肌电,方向幅值形态,20,2,1094,22,0.2,0.26734104046242774,0.09287264153871594,0.27636849132176233,0.12577308116412875
触发前车辆事件加连续风格和肌电,方向幅值形态,20,2,1094,22,1.0,0.27890173410404623,0.09718690946395571,0.29506008010680906,0.14088400380463129
触发前车辆事件加连续风格和肌电,方向幅值形态,20,2,1094,22,5.0,0.2846820809248555,0.09566481467995924,0.30574098798397864,0.16187470668858164
触发前车辆和事件信息,方向形态,9,2,1243,10,0.2,0.4277456647398844,0.2169801036554153,0.3671562082777036,0.2230278336177113
触发前车辆和事件信息,方向形态,9,2,1243,10,1.0,0.4421965317919075,0.22286890227501277,0.38317757009345793,0.23502449158414782
触发前车辆和事件信息,方向形态,9,2,1243,10,5.0,0.4595375722543353,0.21703107439268451,0.38317757009345793,0.22876995927198768
触发前车辆事件加连续风格,方向形态,9,2,1243,10,0.2,0.37716763005780346,0.1918885082302142,0.376502002670227,0.21927464055393991
触发前车辆事件加连续风格,方向形态,9,2,1243,10,1.0,0.37716763005780346,0.18803674179731314,0.38584779706275035,0.22749367152632516
触发前车辆事件加连续风格,方向形态,9,2,1243,10,5.0,0.407514450867052,0.20042449734319828,0.3938584779706275,0.23415177915087004
触发前车辆事件加连续风格和肌电,方向形态,9,2,1243,10,0.2,0.38583815028901736,0.1963321643939815,0.38451268357810414,0.22542197062504302
触发前车辆事件加连续风格和肌电,方向形态,9,2,1243,10,1.0,0.38439306358381503,0.18987831889800671,0.3965287049399199,0.23782054101524638
触发前车辆事件加连续风格和肌电,方向形态,9,2,1243,10,5.0,0.4046242774566474,0.20502246983489325,0.3951935914552737,0.23599615279311642
