sample_id,event_uid,subject,session_stamp,anchor_time_rel_s,curvature_anchor,event_type,event_level,road_type_anchor,road_design_module_name,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability,split,top1_branch,top1_prob,prob_margin,prob_entropy,topk_branch_spread_mean,topk_branch_spread_peak,branch_peak_abs_spread,rbf_kernel_ridge_context_no_subject__pred_peak_abs,rbf_kernel_ridge_context_no_subject__pred_peak_sign,rbf_kernel_ridge_context_no_subject__pred_reversal_count,keypoint_residual_vehicle_transformer_no_subject__pred_peak_abs,keypoint_residual_vehicle_transformer_no_subject__pred_peak_sign,keypoint_residual_vehicle_transformer_no_subject__pred_reversal_count,topk_vehicle_transformer_top1_no_subject__pred_peak_abs,topk_vehicle_transformer_top1_no_subject__pred_peak_sign,topk_vehicle_transformer_top1_no_subject__pred_reversal_count,topk_vehicle_transformer_branch0_no_subject__pred_peak_abs,topk_vehicle_transformer_branch0_no_subject__pred_peak_sign,topk_vehicle_transformer_branch0_no_subject__pred_reversal_count,topk_vehicle_transformer_branch1_no_subject__pred_peak_abs,topk_vehicle_transformer_branch1_no_subject__pred_peak_sign,topk_vehicle_transformer_branch1_no_subject__pred_reversal_count,topk_vehicle_transformer_branch2_no_subject__pred_peak_abs,topk_vehicle_transformer_branch2_no_subject__pred_peak_sign,topk_vehicle_transformer_branch2_no_subject__pred_reversal_count,label_diag__rbf_sample_rmse,label_diag__rbf_topk_oracle_model,label_diag__rbf_topk_oracle_rmse,label_diag__rbf_topk_oracle_gain_over_rbf,label_diag__rbf_topk_oracle_uses_non_rbf,label_diag__broad_oracle_model,label_diag__broad_oracle_rmse,label_diag__broad_oracle_gain_over_rbf,label_diag__broad_oracle_uses_non_rbf
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915,byx,2025_09_28_17_35_43,78.915,0.0,instability_ay_roll,medium_active,straight,longstraight,longstraight,design_regular_road,high,train,0,0.37203255,0.028914481,1.0925952,0.2233776,0.3762424,0.8210985,0.51912385,1,150,0.87236834,1,1,0.8844278,1,2,0.8844278,1,2,1.2316625,1,2,0.410564,1,2,0.42049396,topk_vehicle_transformer_branch2_no_subject,0.28567263,0.13482133,1,topk_vehicle_transformer_branch2_no_subject,0.28567263,0.13482133,1
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335,byx,2025_09_28_17_35_43,199.335,-0.00729802,instability_ay_roll,extreme_active,curve,curve1,curve1,design_curve_context,medium,train,1,0.3357951,0.0035323203,1.0985986,0.10827317,0.23373672,0.37357163,0.03653663,-1,1,0.13938099,-1,0,0.10781116,1,0,0.16188464,-1,0,0.10781116,1,0,0.4813828,-1,1,0.0025207226,rbf_kernel_ridge_context_no_subject,0.0025207226,0.0,0,rbf_kernel_ridge_context_no_subject,0.0025207226,0.0,0
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020,byx,2025_09_28_17_35_43,231.02,0.0,instability_ay_roll,extreme_active,straight,middle_section,section3,design_regular_road,low,train,0,0.3727142,0.010240942,1.0875525,0.2822552,0.4546438,0.3451304,0.66080695,-1,180,1.0988041,-1,1,0.343693,-1,1,0.343693,-1,1,0.6888234,1,2,0.67388916,-1,2,0.4221306,rbf_kernel_ridge_context_no_subject,0.4221306,0.0,0,rbf_kernel_ridge_context_no_subject,0.4221306,0.0,0
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825,byx,2025_09_28_17_35_43,329.825,-0.0,instability_ay_roll,weak,straight,middle_section,section4,design_regular_road,low,train,2,0.3799604,0.008295119,1.0814836,0.17651446,0.30218717,0.3878127,0.41004556,-1,46,1.1570568,-1,1,0.7995462,-1,2,0.41177034,-1,2,0.41173348,-1,1,0.7995462,-1,2,0.1167936,rbf_kernel_ridge_context_no_subject,0.1167936,0.0,0,rbf_kernel_ridge_context_no_subject,0.1167936,0.0,0
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580,byx,2025_09_28_17_46_00,95.58,0.0,instability_ay_roll,extreme_active,straight,middle_section,section2,design_regular_road,high,test,2,0.3683022,0.00017133355,1.0872114,0.22613764,0.39128423,0.8390003,0.6574149,1,183,1.0516566,1,1,0.543533,1,2,1.0359852,1,2,1.3825333,1,2,0.543533,1,2,0.4272091,topk_vehicle_transformer_branch1_no_subject,0.34531242,0.08189669,1,topk_vehicle_transformer_branch1_no_subject,0.34531242,0.08189669,1
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315,byx,2025_09_28_17_46_00,215.315,0.0,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low,test,0,0.37908983,0.010428816,1.0830213,0.23279266,0.39668584,0.50782454,1.4297541,-1,130,1.202457,-1,1,1.2765589,-1,2,1.2765589,-1,2,1.1426518,-1,1,1.6504763,-1,2,0.24321981,topk_vehicle_transformer_branch0_no_subject,0.17747018,0.06574963,1,topk_vehicle_transformer_branch0_no_subject,0.17747018,0.06574963,1
vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145,cwh,2025_09_26_19_27_21,65.145,-0.0,instability_ay_roll,extreme_active,straight,middle_section,section2,design_regular_road,high,train,2,0.38278484,0.027649373,1.0861902,0.26625437,0.40747526,0.19720316,1.3098681,-1,100,1.3789244,-1,1,1.0321133,-1,2,0.83491015,-1,1,1.0096952,-1,1,1.0321133,-1,2,0.30074802,rbf_kernel_ridge_context_no_subject,0.30074802,0.0,0,rbf_kernel_ridge_context_no_subject,0.30074802,0.0,0
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295,cwh,2025_09_26_19_35_47,225.295,0.0,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low,train,1,0.35342267,0.004463345,1.0956724,0.20506057,0.38480845,0.6828974,1.0733349,1,105,1.095201,1,1,1.4118221,1,2,1.0305188,1,2,1.4118221,1,2,0.7289247,1,1,0.29294172,topk_vehicle_transformer_branch2_no_subject,0.13413025,0.15881146,1,topk_vehicle_transformer_branch2_no_subject,0.13413025,0.15881146,1
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095,cwh,2025_09_26_19_35_47,453.095,0.0,instability_ay_roll,instability_extreme,design_high_risk_surface,differentmu_road,mu1,design_high_risk_surface,very_low,train,0,0.3903504,0.019188285,1.0769287,0.106667146,0.21347104,0.13850567,0.060567793,1,11,0.11576228,-1,0,0.25252715,1,0,0.25252715,1,0,0.20744315,1,0,0.34594882,-1,0,0.03106068,rbf_kernel_ridge_context_no_subject,0.03106068,0.0,0,rbf_kernel_ridge_context_no_subject,0.03106068,0.0,0
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630,cwh,2025_09_26_19_35_47,527.63,0.0,instability_ay_roll,weak,curve,differentmu_road,mu1,design_high_risk_surface,very_low,train,0,0.40363666,0.050685853,1.0777091,0.11231658,0.17600255,0.28914478,0.13224827,-1,2,0.04528049,1,0,0.16324385,1,0,0.16324385,1,0,0.36169067,1,1,0.07254588,-1,0,0.021404386,rbf_kernel_ridge_context_no_subject,0.021404386,0.0,0,rbf_kernel_ridge_context_no_subject,0.021404386,0.0,0
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205,cwh,2025_09_26_19_45_40,89.205,-0.0,instability_ay_roll,medium_active,straight,middle_section,section2,design_regular_road,high,train,0,0.3568517,0.029889524,1.0972914,0.21774082,0.3703936,0.7983017,1.0513732,1,133,1.3091098,1,1,1.2414068,1,2,1.2414068,1,2,1.5712084,1,2,0.77290666,1,2,0.23624706,topk_vehicle_transformer_branch2_no_subject,0.09990659,0.13634047,1,topk_vehicle_transformer_branch2_no_subject,0.09990659,0.13634047,1
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100,cwh,2025_09_26_19_45_40,165.1,-0.0,instability_ay_roll,strong_active,straight,middle_section,section3,design_regular_road,low,train,0,0.36553302,0.015595168,1.0929368,0.25980163,0.46459875,0.70643556,0.6615482,1,112,0.67690295,1,1,1.436348,1,2,1.436348,1,2,1.6744627,1,2,0.9680271,1,2,0.15102059,rbf_kernel_ridge_context_no_subject,0.15102059,0.0,0,rbf_kernel_ridge_context_no_subject,0.15102059,0.0,0
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250,cwh,2025_09_26_19_45_40,214.25,-0.0,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low,train,2,0.38211438,0.017608672,1.083328,0.2335748,0.4166656,0.6372424,1.5268756,-1,66,1.3242551,-1,1,1.594405,-1,2,1.1456023,-1,2,0.9571627,-1,1,1.594405,-1,2,0.3531014,topk_vehicle_transformer_branch2_no_subject,0.24832186,0.10477954,1,topk_vehicle_transformer_branch2_no_subject,0.24832186,0.10477954,1
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005,cwh,2025_09_26_19_45_40,341.005,-0.0,instability_ay_roll,strong_active,straight,middle_section,section5,design_regular_road,very_low,train,0,0.3841583,0.035471797,1.0875192,0.19455309,0.26949918,0.22708148,0.9231437,-1,160,0.5960346,-1,1,0.94577557,-1,1,0.94577557,-1,1,1.0262098,-1,1,1.172857,-1,2,0.3621476,rbf_kernel_ridge_context_no_subject,0.3621476,0.0,0,rbf_kernel_ridge_context_no_subject,0.3621476,0.0,0
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000205130__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000205130,cwh,2025_09_26_19_56_16,205.13,0.0,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low,val,2,0.37238884,0.009022981,1.0873816,0.24779531,0.37234572,0.25953734,1.4364377,-1,102,1.4306581,-1,1,1.1304152,-1,2,0.87087786,-1,1,0.980402,-1,1,1.1304152,-1,2,0.3376335,topk_vehicle_transformer_branch2_no_subject,0.19202095,0.14561254,1,topk_vehicle_transformer_branch2_no_subject,0.19202095,0.14561254,1
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000309365__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000309365,cwh,2025_09_26_19_56_16,309.365,-0.00048204,instability_ay_roll,strong_active,straight,curve2,curve2,design_curve_context,very_low,val,0,0.35327673,0.010561049,1.0965669,0.21056275,0.36997905,0.8105563,0.7981628,1,200,1.3419327,1,1,1.0380212,1,2,1.0380212,1,2,1.3755468,1,2,0.5649905,1,2,0.3582754,rbf_kernel_ridge_context_no_subject,0.3582754,0.0,0,rbf_kernel_ridge_context_no_subject,0.3582754,0.0,0
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000329785__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000329785,cwh,2025_09_26_19_56_16,329.785,0.0,instability_ay_roll,strong_active,straight,middle_section,section5,design_regular_road,very_low,val,0,0.37924027,0.020820796,1.0865034,0.20058325,0.29374364,0.2882312,0.85716903,-1,233,0.6763384,-1,1,0.7822172,-1,1,0.7822172,-1,1,0.8580573,-1,1,1.0704484,-1,2,0.83484614,topk_vehicle_transformer_branch1_no_subject,0.57155,0.26329613,1,topk_vehicle_transformer_branch1_no_subject,0.57155,0.26329613,1
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000388180__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000388180,cwh,2025_09_26_19_56_16,388.18,0.0,instability_ay_roll,medium_active,straight,middle_section,section6,design_regular_road,very_low,val,0,0.34987545,0.024515688,1.0980012,0.175515,0.31214213,0.4676783,0.44308016,1,213,1.2740911,1,1,0.6781604,1,2,0.6781604,1,2,0.98803574,1,2,0.52035743,1,1,0.3551464,topk_vehicle_transformer_branch2_no_subject,0.27154762,0.08359879,1,topk_vehicle_transformer_branch2_no_subject,0.27154762,0.08359879,1
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045,cwh,2025_09_26_20_06_19,204.045,-0.0,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low,train,2,0.36995256,0.01866299,1.0914619,0.21314742,0.37679794,0.80903715,1.3279135,1,110,1.133889,1,1,0.7332726,1,2,1.2141297,1,2,1.5423098,1,2,0.7332726,1,2,0.34374702,rbf_kernel_ridge_context_no_subject,0.34374702,0.0,0,rbf_kernel_ridge_context_no_subject,0.34374702,0.0,0
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730,cwh,2025_09_26_20_06_19,315.73,0.0,instability_ay_roll,strong_active,straight,middle_section,section5,design_regular_road,very_low,train,0,0.37676623,0.027621418,1.0899211,0.20857528,0.29527816,0.23571539,0.8694862,-1,168,0.6458461,-1,1,0.7672584,-1,1,0.7672584,-1,1,0.9068306,-1,1,1.0029738,-1,1,0.33743438,topk_vehicle_transformer_branch1_no_subject,0.25140575,0.086028636,1,topk_vehicle_transformer_branch1_no_subject,0.25140575,0.086028636,1
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390,cwh,2025_09_26_20_06_19,480.39,0.0,instability_ay_roll,instability_medium,design_high_risk_surface,differentmu_road,mu1,design_high_risk_surface,very_low,train,0,0.40148628,0.047471642,1.0783917,0.10784281,0.1701441,0.22259235,0.17616154,-1,2,0.07337196,1,0,0.06526905,1,0,0.06526905,1,0,0.2878614,-1,1,0.22071123,-1,0,0.0073422827,rbf_kernel_ridge_context_no_subject,0.0073422827,0.0,0,rbf_kernel_ridge_context_no_subject,0.0073422827,0.0,0
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845,gf,2025_09_26_10_18_49,233.845,0.0,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low,train,2,0.3463067,0.00034847856,1.0971179,0.24900103,0.42701814,0.80874157,0.9921526,1,74,1.0189991,1,1,1.1209364,1,2,1.6532063,1,2,1.929678,1,2,1.1209364,1,2,0.60412365,topk_vehicle_transformer_branch1_no_subject,0.4142465,0.18987715,1,topk_vehicle_transformer_branch1_no_subject,0.4142465,0.18987715,1
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375,gf,2025_09_26_10_18_49,439.375,0.0,instability_ay_roll,strong_active,straight,middle_section,section6,design_regular_road,very_low,train,0,0.36315808,0.021499574,1.0949414,0.17981483,0.3474991,0.45806032,0.54582334,1,170,1.3334252,1,1,0.5516658,1,2,0.5516658,1,2,0.8996056,1,2,0.44154525,1,1,0.104487285,rbf_kernel_ridge_context_no_subject,0.104487285,0.0,0,rbf_kernel_ridge_context_no_subject,0.104487285,0.0,0
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260,gf,2025_09_26_10_30_12,223.26,0.0,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low,test,0,0.35383397,0.021810621,1.0974286,0.23061529,0.3951924,0.8417473,1.0312043,1,85,1.1418027,1,1,1.792597,1,2,1.792597,1,2,2.1006525,1,2,1.2589052,1,2,0.43709537,topk_vehicle_transformer_branch0_no_subject,0.35929316,0.07780221,1,topk_vehicle_transformer_branch0_no_subject,0.35929316,0.07780221,1
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,2025_09_26_10_30_12,425.785,-0.0,instability_ay_roll,strong_active,straight,middle_section,section6,design_regular_road,very_low,test,0,0.38449505,0.018299311,1.081691,0.19892147,0.362912,0.60800916,0.554233,1,177,1.2327726,1,1,0.787037,1,1,0.787037,1,1,1.1851501,1,2,0.577141,1,1,0.99348843,topk_vehicle_transformer_branch0_no_subject,0.7972537,0.1962347,1,topk_vehicle_transformer_branch0_no_subject,0.7972537,0.1962347,1
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655,gf,2025_09_26_10_40_59,180.655,0.0,instability_ay_roll,strong_active,straight,middle_section,section3,design_regular_road,low,train,2,0.38283402,0.018774658,1.0831935,0.22216032,0.3876915,0.5649991,1.4323428,-1,26,1.3460773,-1,1,1.7084736,-1,2,1.30116,-1,2,1.1434745,-1,1,1.7084736,-1,2,0.45207408,topk_vehicle_transformer_branch2_no_subject,0.37727284,0.07480124,1,topk_vehicle_transformer_branch2_no_subject,0.37727284,0.07480124,1
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065,gf,2025_09_26_10_40_59,232.065,0.0,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low,train,0,0.3633141,0.044168055,1.0966163,0.24964346,0.4234834,0.8030483,1.2191175,1,123,0.84666556,1,1,1.5174638,1,2,1.5174638,1,2,1.7858843,1,2,0.98283595,1,2,0.5895392,topk_vehicle_transformer_branch1_no_subject,0.56818444,0.021354735,1,topk_vehicle_transformer_branch1_no_subject,0.56818444,0.021354735,1
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870,gf,2025_09_26_10_52_57,300.87,0.0,instability_ay_roll,weak,straight,middle_section,section4,design_regular_road,low,test,2,0.3798906,0.015644073,1.0843171,0.19089092,0.35127836,0.519443,0.37970063,1,212,0.9796554,-1,1,0.77383006,-1,2,0.31564987,-1,1,0.25438708,-1,1,0.77383006,-1,2,0.15100467,rbf_kernel_ridge_context_no_subject,0.15100467,0.0,0,rbf_kernel_ridge_context_no_subject,0.15100467,0.0,0
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505,gf,2025_09_26_10_52_57,471.505,0.0,instability_ay_roll,medium_active,straight,middle_section,section6,design_regular_road,very_low,test,0,0.3569473,0.015636027,1.0961535,0.14432444,0.26045504,0.22590807,1.2416404,1,167,1.3546878,1,1,0.4591828,1,1,0.4591828,1,1,0.6791937,1,2,0.4532856,1,1,0.35140517,rbf_kernel_ridge_context_no_subject,0.35140517,0.0,0,keypoint_residual_vehicle_transformer_no_subject,0.25489378,0.096511394,1
