sample_id,event_uid,subject,session_stamp,anchor_time_rel_s,curvature_anchor,event_type,event_level,road_type_anchor,road_design_module_name,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability,split,top1_branch,top1_prob,prob_margin,prob_entropy,topk_branch_spread_mean,topk_branch_spread_peak,branch_peak_abs_spread,rbf_kernel_ridge_context_no_subject__pred_peak_abs,rbf_kernel_ridge_context_no_subject__pred_peak_sign,rbf_kernel_ridge_context_no_subject__pred_reversal_count,keypoint_residual_vehicle_transformer_no_subject__pred_peak_abs,keypoint_residual_vehicle_transformer_no_subject__pred_peak_sign,keypoint_residual_vehicle_transformer_no_subject__pred_reversal_count,topk_vehicle_transformer_top1_no_subject__pred_peak_abs,topk_vehicle_transformer_top1_no_subject__pred_peak_sign,topk_vehicle_transformer_top1_no_subject__pred_reversal_count,topk_vehicle_transformer_branch0_no_subject__pred_peak_abs,topk_vehicle_transformer_branch0_no_subject__pred_peak_sign,topk_vehicle_transformer_branch0_no_subject__pred_reversal_count,topk_vehicle_transformer_branch1_no_subject__pred_peak_abs,topk_vehicle_transformer_branch1_no_subject__pred_peak_sign,topk_vehicle_transformer_branch1_no_subject__pred_reversal_count,topk_vehicle_transformer_branch2_no_subject__pred_peak_abs,topk_vehicle_transformer_branch2_no_subject__pred_peak_sign,topk_vehicle_transformer_branch2_no_subject__pred_reversal_count,label_diag__rbf_sample_rmse,label_diag__rbf_topk_oracle_model,label_diag__rbf_topk_oracle_rmse,label_diag__rbf_topk_oracle_gain_over_rbf,label_diag__rbf_topk_oracle_uses_non_rbf,label_diag__broad_oracle_model,label_diag__broad_oracle_rmse,label_diag__broad_oracle_gain_over_rbf,label_diag__broad_oracle_uses_non_rbf
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,60.84,0.0,instability_ay_roll,extreme_active,straight,middle_section,section2,design_regular_road,high,train,0,0.34702975,0.018497378,1.0981802,0.24585032,0.4248119,0.7738677,1.3351538,1,129,1.3228766,1,1,2.2109132,1,2,2.2109132,1,2,2.4639533,1,2,1.6900855,1,2,0.29632849,rbf_kernel_ridge_context_no_subject,0.29632849,0.0,0,rbf_kernel_ridge_context_no_subject,0.29632849,0.0,0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,187.815,0.0,instability_ay_roll,strong_active,straight,middle_section,section3,design_regular_road,low,train,0,0.38838145,0.032206982,1.0836275,0.22877885,0.40778384,0.6494823,0.92301863,-1,75,1.189053,-1,1,0.99202263,-1,2,0.99202263,-1,2,0.8008172,-1,1,1.4502995,-1,2,0.28368288,topk_vehicle_transformer_branch0_no_subject,0.26594064,0.017742246,1,topk_vehicle_transformer_branch0_no_subject,0.26594064,0.017742246,1
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,349.3,-0.00025321,instability_ay_roll,extreme_active,straight,curve2,curve2,design_curve_context,very_low,train,2,0.40466285,0.060596436,1.0802517,0.24840923,0.4048655,0.28760102,0.8939478,-1,155,0.48205817,-1,0,0.75477535,-1,0,0.46717432,-1,0,0.6838709,-1,2,0.75477535,-1,0,0.2333857,rbf_kernel_ridge_context_no_subject,0.2333857,0.0,0,rbf_kernel_ridge_context_no_subject,0.2333857,0.0,0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,58.865,0.0,instability_ay_roll,extreme_active,straight,middle_section,section2,design_regular_road,high,train,2,0.37562323,0.003863126,1.0832282,0.24970885,0.430183,0.5486704,1.3033015,-1,157,1.1732376,-1,1,1.638645,-1,2,1.2372743,-1,2,1.0899746,-1,1,1.638645,-1,2,0.62310743,rbf_kernel_ridge_context_no_subject,0.62310743,0.0,0,rbf_kernel_ridge_context_no_subject,0.62310743,0.0,0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,131.145,-0.00729802,instability_ay_roll,strong_active,curve,curve1,curve1,design_curve_context,high,train,0,0.44044778,0.10879788,1.0642155,0.24503249,0.41550553,0.9400755,1.4471922,-1,90,0.51227754,-1,0,1.5471051,-1,1,1.5471051,-1,1,1.107185,-1,1,2.0472605,-1,1,0.2145425,rbf_kernel_ridge_context_no_subject,0.2145425,0.0,0,rbf_kernel_ridge_context_no_subject,0.2145425,0.0,0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,216.345,0.0,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low,train,2,0.40779713,0.059387803,1.0772414,0.22237417,0.4021058,0.6014738,1.2446196,-1,84,1.3594589,-1,1,1.2710067,-1,2,0.799552,-1,2,0.6695329,-1,1,1.2710067,-1,2,0.14629039,rbf_kernel_ridge_context_no_subject,0.14629039,0.0,0,rbf_kernel_ridge_context_no_subject,0.14629039,0.0,0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,65.55,-0.0,instability_ay_roll,instability_extreme,design_regular_road,middle_section,section2,design_regular_road,medium,train,0,0.3695282,0.038036674,1.0948752,0.12167523,0.24883722,0.040852457,0.0902099,1,1,0.1373697,-1,0,0.30723515,1,0,0.30723515,1,0,0.32834983,1,0,0.28749737,-1,0,0.01187081,rbf_kernel_ridge_context_no_subject,0.01187081,0.0,0,rbf_kernel_ridge_context_no_subject,0.01187081,0.0,0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,164.15,-0.00729802,instability_ay_roll,strong_active,curve,curve1,curve1,design_curve_context,high,train,0,0.40794876,0.046559483,1.0719297,0.2849523,0.5245004,0.2592256,1.2630199,-1,167,0.2300857,-1,0,1.2421166,-1,1,1.2421166,-1,1,1.463743,-1,1,1.5013422,-1,1,0.24024905,topk_vehicle_transformer_branch2_no_subject,0.20405716,0.036191896,1,topk_vehicle_transformer_branch2_no_subject,0.20405716,0.036191896,1
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,275.87,-0.0,instability_ay_roll,instability_extreme,design_special_event_segment,fix_road,fix_road,design_special_event_segment,low,train,1,0.4456683,0.10041073,1.0545644,0.13248685,0.25496784,0.5627372,0.040339284,-1,2,0.51183826,-1,1,0.07084725,1,0,0.25575534,-1,0,0.07084725,1,0,0.6335845,-1,1,0.0062738513,rbf_kernel_ridge_context_no_subject,0.0062738513,0.0,0,rbf_kernel_ridge_context_no_subject,0.0062738513,0.0,0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,384.19,-0.0,instability_ay_roll,strong_active,straight,middle_section,section5,design_regular_road,very_low,train,0,0.38319165,0.03019771,1.0866745,0.16981666,0.3407909,0.71545976,1.0895557,1,165,1.1591761,1,1,1.3631604,1,2,1.3631604,1,2,1.7013848,1,2,0.985925,1,1,0.21663062,rbf_kernel_ridge_context_no_subject,0.21663062,0.0,0,rbf_kernel_ridge_context_no_subject,0.21663062,0.0,0
