sample_id,event_uid,subject,session_stamp,split,left_model,right_model,pair_name,trajectory_rmse_distance
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915,byx,2025_09_28_17_35_43,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.2623012363910675
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335,byx,2025_09_28_17_35_43,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.06679835170507431
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020,byx,2025_09_28_17_35_43,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.33198222517967224
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825,byx,2025_09_28_17_35_43,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.4147663712501526
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580,byx,2025_09_28_17_46_00,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.26696082949638367
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315,byx,2025_09_28_17_46_00,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.233988419175148
vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145,cwh,2025_09_26_19_27_21,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.27813881635665894
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295,cwh,2025_09_26_19_35_47,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.09347642213106155
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095,cwh,2025_09_26_19_35_47,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.05083094537258148
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630,cwh,2025_09_26_19_35_47,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.0713561549782753
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205,cwh,2025_09_26_19_45_40,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.1285291314125061
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100,cwh,2025_09_26_19_45_40,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.2709646224975586
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250,cwh,2025_09_26_19_45_40,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.25566577911376953
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005,cwh,2025_09_26_19_45_40,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.28471967577934265
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000205130__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000205130,cwh,2025_09_26_19_56_16,val,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.2484452873468399
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000309365__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000309365,cwh,2025_09_26_19_56_16,val,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.31128448247909546
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000329785__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000329785,cwh,2025_09_26_19_56_16,val,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.15813571214675903
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000388180__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000388180,cwh,2025_09_26_19_56_16,val,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.5383229851722717
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045,cwh,2025_09_26_20_06_19,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.28805533051490784
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730,cwh,2025_09_26_20_06_19,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.2404506355524063
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390,cwh,2025_09_26_20_06_19,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.09497617185115814
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845,gf,2025_09_26_10_18_49,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.3467060923576355
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375,gf,2025_09_26_10_18_49,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.4425123631954193
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260,gf,2025_09_26_10_30_12,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.28033652901649475
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,2025_09_26_10_30_12,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.31010764837265015
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655,gf,2025_09_26_10_40_59,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.26117751002311707
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065,gf,2025_09_26_10_40_59,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.39512792229652405
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870,gf,2025_09_26_10_52_57,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.5645262598991394
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505,gf,2025_09_26_10_52_57,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.13108588755130768
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015,gzj,2025_09_27_11_41_47,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.1465608775615692
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485,gzj,2025_09_27_11_41_47,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.21185417473316193
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065,gzj,2025_09_27_11_41_47,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.1972244828939438
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415,gzj,2025_09_27_11_41_47,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.8664328455924988
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340,gzj,2025_09_27_11_41_47,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.18122462928295135
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945,gzj,2025_09_27_11_53_25,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.17656750977039337
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210,gzj,2025_09_27_11_53_25,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.20659507811069489
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920,gzj,2025_09_27_11_53_25,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.28523358702659607
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025,gzj,2025_09_27_11_53_25,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.3170406222343445
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835,gzj,2025_09_27_12_04_23,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.2784974277019501
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790,gzj,2025_09_27_12_04_23,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.44755083322525024
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350,gzj,2025_09_27_12_04_23,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.24892164766788483
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140,gzj,2025_09_27_12_04_23,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.2258257269859314
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385,gzj,2025_09_27_12_04_23,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.5161460638046265
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185,gzj,2025_09_27_12_17_12,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.23183417320251465
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700,gzj,2025_09_27_12_17_12,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.24331650137901306
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240,gzj,2025_09_27_12_17_12,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.18359245359897614
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555,gzj,2025_09_27_12_17_12,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.24153031408786774
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440,gzj,2025_09_27_12_17_12,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.22097742557525635
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460,gzj,2025_09_27_12_17_12,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.24285265803337097
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.15541960299015045
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180,gzj,2025_09_27_12_17_12,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.21515975892543793
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940,gzj,2025_09_27_12_17_12,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.23953594267368317
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490,gzj,2025_09_27_12_28_14,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.3426878750324249
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075,gzj,2025_09_27_12_28_14,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.19991187751293182
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480,gzj,2025_09_27_12_28_14,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.20100682973861694
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055,gzj,2025_09_27_12_28_14,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.2533175051212311
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425,gzj,2025_09_27_12_28_14,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.14711061120033264
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825,gzj,2025_09_27_12_28_14,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.30912497639656067
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605,hzh,2025_09_26_20_50_27,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.33009642362594604
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695,hzh,2025_09_26_20_50_27,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.3226969838142395
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880,hzh,2025_09_26_20_50_27,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.14314113557338715
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250,hzh,2025_09_26_20_50_27,test,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.621829092502594
