sample_id,event_uid,subject,session_stamp,split,left_model,right_model,pair_name,trajectory_rmse_distance
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.3774222135543823
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.1981711983680725
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.34824204444885254
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.18655025959014893
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.585391640663147
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.14448955655097961
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.10020912438631058
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.8230368494987488
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.186275452375412
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,train,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,0.3765997588634491
