feature,input_status,reason
branch2_zero_crossing_mismatch,excluded,label_derived_forbidden_input
branch2_reversal_count_exact,excluded,label_derived_forbidden_input
branch2_pred_peak_abs,allowed,pre-event_context_or_candidate_prediction_only
branch2_pred_reversal_count,allowed,pre-event_context_or_candidate_prediction_only
branch2_pred_multi_segment,allowed,pre-event_context_or_candidate_prediction_only
branch2_gt_peak_abs,excluded,label_derived_forbidden_input
branch2_is_large_response,excluded,label_derived_forbidden_input
branch2_is_difficult_peak_top20,excluded,label_derived_forbidden_input
best_candidate_oracle,excluded,training_label_only_not_input
top1_worse_than_rbf,excluded,label_derived_forbidden_input
top1_minus_rbf_rmse,excluded,label_derived_forbidden_input
best_of_rbf_topk_rmse,excluded,not_in_allowlist
best_of_rbf_topk_gain_over_rbf,excluded,label_derived_forbidden_input
