split,sample_id,best_candidate_oracle,selected_choice,policy_name,selected_confidence,prob_branch0,prob_branch1,prob_branch2,prob_rbf,fallback_threshold
train,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945__pre3_label3_response_coverage,branch1,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920__pre3_label3_response_coverage,branch0,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385__pre3_label3_response_coverage,branch1,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre3_label3_response_coverage,branch0,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre3_label3_response_coverage,branch1,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555__pre3_label3_response_coverage,branch0,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460__pre3_label3_response_coverage,branch1,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180__pre3_label3_response_coverage,branch1,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075__pre3_label3_response_coverage,branch1,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425__pre3_label3_response_coverage,branch1,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605__pre3_label3_response_coverage,branch0,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
