policy_name,split,n_samples,oracle_choice_accuracy,mean_confidence,brier_multiclass,ece_5bin,rbf_selected_rate,branch0_selected_rate,branch1_selected_rate,branch2_selected_rate
always_rbf_reference,test,40,0.375,,,0.0,1.0,0.0,0.0,0.0
always_rbf_reference,train,188,0.6223404255319149,,,0.0,1.0,0.0,0.0,0.0
always_rbf_reference,val,42,0.40476190476190477,,,0.0,1.0,0.0,0.0,0.0
logreg_balanced_c0_2,test,40,0.375,0.5202285069398025,0.8008719462928857,0.14522850693980252,0.325,0.325,0.05,0.3
logreg_balanced_c0_2,train,188,0.5478723404255319,0.5180575383448576,0.5525489446451245,0.03237708682255727,0.3191489361702128,0.2127659574468085,0.21808510638297873,0.25
logreg_balanced_c0_2,val,42,0.30952380952380953,0.5056759026710116,0.8148100235602572,0.25582541460827024,0.2619047619047619,0.21428571428571427,0.38095238095238093,0.14285714285714285
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.00,test,40,0.375,0.5202285069398025,0.8008719462928857,0.14522850693980252,0.325,0.325,0.05,0.3
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.00,train,188,0.5478723404255319,0.5180575383448576,0.5525489446451245,0.03237708682255727,0.3191489361702128,0.2127659574468085,0.21808510638297873,0.25
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.00,val,42,0.30952380952380953,0.5056759026710116,0.8148100235602572,0.25582541460827024,0.2619047619047619,0.21428571428571427,0.38095238095238093,0.14285714285714285
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.35,test,40,0.35,0.5202285069398025,0.8008719462928857,0.17022850693980252,0.35,0.325,0.05,0.275
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.35,train,188,0.601063829787234,0.5180575383448576,0.5525489446451245,0.08300629144237645,0.3776595744680851,0.19148936170212766,0.19680851063829788,0.23404255319148937
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.35,val,42,0.3333333333333333,0.5056759026710116,0.8148100235602572,0.279634938417794,0.42857142857142855,0.19047619047619047,0.2857142857142857,0.09523809523809523
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.50,test,40,0.375,0.5202285069398025,0.8008719462928857,0.14522850693980252,0.8,0.125,0.025,0.05
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.50,train,188,0.6595744680851063,0.5180575383448576,0.5525489446451245,0.14151692974024882,0.7340425531914894,0.10106382978723404,0.10638297872340426,0.05851063829787234
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.50,val,42,0.35714285714285715,0.5056759026710116,0.8148100235602572,0.16058731937017495,0.7857142857142857,0.09523809523809523,0.09523809523809523,0.023809523809523808
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.65,test,40,0.375,0.5202285069398025,0.8008719462928857,0.14522850693980252,0.9,0.1,0.0,0.0
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.65,train,188,0.6382978723404256,0.5180575383448576,0.5525489446451245,0.13370686006078927,0.9095744680851063,0.05851063829787234,0.026595744680851064,0.005319148936170213
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.65,val,42,0.40476190476190477,0.5056759026710116,0.8148100235602572,0.11296827175112734,0.9047619047619048,0.023809523809523808,0.047619047619047616,0.023809523809523808
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.80,test,40,0.375,0.5202285069398025,0.8008719462928857,0.14522850693980252,1.0,0.0,0.0,0.0
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.80,train,188,0.6223404255319149,0.5180575383448576,0.5525489446451245,0.1496643068692999,1.0,0.0,0.0,0.0
logreg_balanced_c0_2__fallback_rbf_conf_lt_0.80,val,42,0.40476190476190477,0.5056759026710116,0.8148100235602572,0.11296827175112734,1.0,0.0,0.0,0.0
logreg_balanced_c1,test,40,0.4,0.6452224208554338,0.8867524230168333,0.24522242085543383,0.425,0.275,0.1,0.2
logreg_balanced_c1,train,188,0.6329787234042553,0.6133224487207369,0.48497614583760623,0.03695777914854456,0.35638297872340424,0.18617021276595744,0.23404255319148937,0.22340425531914893
logreg_balanced_c1,val,42,0.23809523809523808,0.5868158143152499,0.921688207507135,0.34872057622001174,0.35714285714285715,0.16666666666666666,0.2619047619047619,0.21428571428571427
logreg_balanced_c1__fallback_rbf_conf_lt_0.00,test,40,0.4,0.6452224208554338,0.8867524230168333,0.24522242085543383,0.425,0.275,0.1,0.2
logreg_balanced_c1__fallback_rbf_conf_lt_0.00,train,188,0.6329787234042553,0.6133224487207369,0.48497614583760623,0.03695777914854456,0.35638297872340424,0.18617021276595744,0.23404255319148937,0.22340425531914893
logreg_balanced_c1__fallback_rbf_conf_lt_0.00,val,42,0.23809523809523808,0.5868158143152499,0.921688207507135,0.34872057622001174,0.35714285714285715,0.16666666666666666,0.2619047619047619,0.21428571428571427
logreg_balanced_c1__fallback_rbf_conf_lt_0.35,test,40,0.4,0.6452224208554338,0.8867524230168333,0.24522242085543383,0.425,0.275,0.1,0.2
logreg_balanced_c1__fallback_rbf_conf_lt_0.35,train,188,0.6329787234042553,0.6133224487207369,0.48497614583760623,0.03695777914854456,0.3776595744680851,0.18085106382978725,0.22340425531914893,0.21808510638297873
logreg_balanced_c1__fallback_rbf_conf_lt_0.35,val,42,0.2619047619047619,0.5868158143152499,0.921688207507135,0.3663704000778989,0.40476190476190477,0.14285714285714285,0.23809523809523808,0.21428571428571427
logreg_balanced_c1__fallback_rbf_conf_lt_0.50,test,40,0.35,0.6452224208554338,0.8867524230168333,0.2952224208554338,0.65,0.175,0.05,0.125
logreg_balanced_c1__fallback_rbf_conf_lt_0.50,train,188,0.6382978723404256,0.6133224487207369,0.48497614583760623,0.07419182170173606,0.5585106382978723,0.13829787234042554,0.1595744680851064,0.14361702127659576
logreg_balanced_c1__fallback_rbf_conf_lt_0.50,val,42,0.30952380952380953,0.5868158143152499,0.921688207507135,0.3187513524588513,0.7142857142857143,0.07142857142857142,0.16666666666666666,0.047619047619047616
logreg_balanced_c1__fallback_rbf_conf_lt_0.65,test,40,0.35,0.6452224208554338,0.8867524230168333,0.2952224208554338,0.8,0.125,0.025,0.05
logreg_balanced_c1__fallback_rbf_conf_lt_0.65,train,188,0.6968085106382979,0.6133224487207369,0.48497614583760623,0.10356768819829634,0.776595744680851,0.0797872340425532,0.0797872340425532,0.06382978723404255
logreg_balanced_c1__fallback_rbf_conf_lt_0.65,val,42,0.40476190476190477,0.5868158143152499,0.921688207507135,0.22351325722075605,0.8809523809523809,0.023809523809523808,0.07142857142857142,0.023809523809523808
logreg_balanced_c1__fallback_rbf_conf_lt_0.80,test,40,0.325,0.6452224208554338,0.8867524230168333,0.32022242085543384,0.9,0.075,0.025,0.0
logreg_balanced_c1__fallback_rbf_conf_lt_0.80,train,188,0.6595744680851063,0.6133224487207369,0.48497614583760623,0.14080173075148783,0.9521276595744681,0.026595744680851064,0.015957446808510637,0.005319148936170213
logreg_balanced_c1__fallback_rbf_conf_lt_0.80,val,42,0.40476190476190477,0.5868158143152499,0.921688207507135,0.22351325722075605,0.9523809523809523,0.0,0.047619047619047616,0.0
oracle_best_of_rbf_topk_not_deployable,test,40,1.0,,,0.0,0.375,0.25,0.2,0.175
oracle_best_of_rbf_topk_not_deployable,train,188,1.0,,,0.0,0.6223404255319149,0.09574468085106383,0.13297872340425532,0.14893617021276595
