candidate_model,numeric_feature_count,categorical_feature_count,val_oracle_choice_accuracy,test_oracle_choice_accuracy,val_brier,test_brier,val_ece_5bin,test_ece_5bin
logreg_balanced_c0_2,28,9,0.30952380952380953,0.375,0.8148100235602572,0.8008719462928857,0.25582541460827024,0.14522850693980252
logreg_balanced_c1,28,9,0.23809523809523808,0.4,0.921688207507135,0.8867524230168333,0.34872057622001174,0.24522242085543383
rf_shallow_balanced,28,9,0.2619047619047619,0.275,0.7420654996160823,0.7605041024598665,0.09806384631681661,0.049308899332157825
