window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,policy_name
pre3_label3_response_coverage,session_level_split,test,always_rbf_reference,40,0.5336666894389569,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.1817509417654946,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,always_rbf_reference
pre3_label3_response_coverage,session_level_split,train,always_rbf_reference,188,0.33011095985179567,0.9414893617021277,0.05851063829787234,0.9148936170212766,0.3130859541607664,0.9549159427900055,0.02127659574468085,0.30026595286549407,0.19082446689618396,0.10480268023124188,0.015957446808510637,0.06382978723404255,0.06914893617021277,0.925531914893617,0.9680851063829787,0.520692098776021,B_response3s_strict_core,always_rbf_reference
pre3_label3_response_coverage,session_level_split,val,always_rbf_reference,42,0.5714822247805078,0.8809523809523809,0.11904761904761904,0.5,0.5098802603937641,3.109326650188326,0.21428571428571427,0.5198809525796345,0.5092857141225111,0.20645945040390645,0.047619047619047616,0.11904761904761904,0.023809523809523808,0.9285714285714286,0.9523809523809523,0.9109325436974252,B_response3s_strict_core,always_rbf_reference
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c0_2,40,0.5778079419887377,0.9,0.1,0.625,0.4456394765526056,1.3414948747846605,0.175,0.3939999908208847,0.40450000311248,0.3149947049445473,0.175,0.1,0.2,0.95,0.75,0.6764796087812367,B_response3s_strict_core,logreg_balanced_c0_2
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c0_2,188,0.38653299954165615,0.9202127659574468,0.0797872340425532,0.9148936170212766,0.2930708100741848,1.0506124376690267,0.031914893617021274,0.3729521263628564,0.25683510688906336,0.2708956295249122,0.1595744680851064,0.10106382978723404,0.2127659574468085,0.925531914893617,0.75,0.5253484328495305,B_response3s_strict_core,logreg_balanced_c0_2
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c0_2,42,0.6029773031305599,0.8571428571428571,0.14285714285714285,0.6,0.47775367120337187,3.137160951042025,0.19047619047619047,0.5191666576124373,0.5227380937763623,0.2965629430768607,0.19047619047619047,0.11904761904761904,0.14285714285714285,0.9285714285714286,0.6904761904761905,0.7991784253044464,B_response3s_strict_core,logreg_balanced_c0_2
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.00,40,0.5778079419887377,0.9,0.1,0.625,0.4456394765526056,1.3414948747846605,0.175,0.3939999908208847,0.40450000311248,0.3149947049445473,0.175,0.1,0.2,0.95,0.75,0.6764796087812367,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.00
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.00,188,0.38653299954165615,0.9202127659574468,0.0797872340425532,0.9148936170212766,0.2930708100741848,1.0506124376690267,0.031914893617021274,0.3729521263628564,0.25683510688906336,0.2708956295249122,0.1595744680851064,0.10106382978723404,0.2127659574468085,0.925531914893617,0.75,0.5253484328495305,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.00
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.00,42,0.6029773031305599,0.8571428571428571,0.14285714285714285,0.6,0.47775367120337187,3.137160951042025,0.19047619047619047,0.5191666576124373,0.5227380937763623,0.2965629430768607,0.19047619047619047,0.11904761904761904,0.14285714285714285,0.9285714285714286,0.6904761904761905,0.7991784253044464,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.00
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.35,40,0.5784236903399038,0.9,0.1,0.625,0.44988595582544805,1.3469785453744225,0.175,0.39624999165534974,0.40087500321678815,0.3181344453128986,0.175,0.1,0.175,0.95,0.75,0.6764796087812367,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.35
