window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,policy_name,selected_for_report
pre3_label3_response_coverage,session_level_split,test,always_rbf_reference,40,0.5336666894389569,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.1817509417654946,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,always_rbf_reference,False
pre3_label3_response_coverage,session_level_split,train,always_rbf_reference,188,0.33011095985179567,0.9414893617021277,0.05851063829787234,0.9148936170212766,0.3130859541607664,0.9549159427900055,0.02127659574468085,0.30026595286549407,0.19082446689618396,0.10480268023124188,0.015957446808510637,0.06382978723404255,0.06914893617021277,0.925531914893617,0.9680851063829787,0.520692098776021,B_response3s_strict_core,always_rbf_reference,False
pre3_label3_response_coverage,session_level_split,val,always_rbf_reference,42,0.5714822247805078,0.8809523809523809,0.11904761904761904,0.5,0.5098802603937641,3.109326650188326,0.21428571428571427,0.5198809525796345,0.5092857141225111,0.20645945040390645,0.047619047619047616,0.11904761904761904,0.023809523809523808,0.9285714285714286,0.9523809523809523,0.9109325436974252,B_response3s_strict_core,always_rbf_reference,False
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.80,40,0.5336666894389569,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.1817509417654946,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.80,True
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.80,188,0.33011095985179567,0.9414893617021277,0.05851063829787234,0.9148936170212766,0.3130859541607664,0.9549159427900055,0.02127659574468085,0.30026595286549407,0.19082446689618396,0.10480268023124188,0.015957446808510637,0.06382978723404255,0.06914893617021277,0.925531914893617,0.9680851063829787,0.520692098776021,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.80,True
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.80,42,0.5714822247805078,0.8809523809523809,0.11904761904761904,0.5,0.5098802603937641,3.109326650188326,0.21428571428571427,0.5198809525796345,0.5092857141225111,0.20645945040390645,0.047619047619047616,0.11904761904761904,0.023809523809523808,0.9285714285714286,0.9523809523809523,0.9109325436974252,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.80,True
pre3_label3_response_coverage,session_level_split,test,oracle_best_of_rbf_topk_not_deployable,40,0.41565236070283856,0.925,0.075,0.875,0.332915298640728,1.0818417820949826,0.1,0.3461250051856041,0.4001249972730875,0.2468077427474782,0.075,0.075,0.2,0.95,0.75,0.6043694225919283,B_response3s_strict_core,oracle_best_of_rbf_topk_not_deployable,False
pre3_label3_response_coverage,session_level_split,train,oracle_best_of_rbf_topk_not_deployable,188,0.28388733169111013,0.9308510638297872,0.06914893617021277,0.9574468085106383,0.26440986360799756,0.9468230656787543,0.015957446808510637,0.3338563787017731,0.2200797867584736,0.1927933988028715,0.10106382978723404,0.09574468085106383,0.15425531914893617,0.925531914893617,0.8138297872340425,0.45702042878387245,B_response3s_strict_core,oracle_best_of_rbf_topk_not_deployable,False
pre3_label3_response_coverage,session_level_split,val,oracle_best_of_rbf_topk_not_deployable,42,0.4591278894537539,0.8809523809523809,0.11904761904761904,0.7,0.4273017287055962,2.0129339173260123,0.14285714285714285,0.4671428579659689,0.4376190448445933,0.2318666714003349,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.9285714285714286,0.6428571428571429,0.736068166116491,B_response3s_strict_core,oracle_best_of_rbf_topk_not_deployable,False
pre3_label3_response_coverage,session_level_split,test,topk_top1_non_oracle,40,0.5878650121120256,0.9,0.1,0.75,0.5538428496569395,1.266169370499317,0.25,0.4583749994635582,0.5153750029858202,0.32471419295761733,0.2,0.15,0.275,0.95,0.6,0.71709414927741,B_response3s_strict_core,topk_top1_non_oracle,False
pre3_label3_response_coverage,session_level_split,train,topk_top1_non_oracle,188,0.4514321178466573,0.8936170212765957,0.10638297872340426,0.723404255319149,0.3698700961280376,1.258373477696905,0.14893617021276595,0.4654255321526781,0.4098936169249739,0.3100961148234188,0.22340425531914893,0.13297872340425532,0.22340425531914893,0.925531914893617,0.6702127659574468,0.6973613602227121,B_response3s_strict_core,topk_top1_non_oracle,False
pre3_label3_response_coverage,session_level_split,val,topk_top1_non_oracle,42,0.6320666980246947,0.8809523809523809,0.11904761904761904,0.3,0.5373785818616549,2.233621742788558,0.2619047619047619,0.5130952390886488,0.6308333339347016,0.34064820914396216,0.2857142857142857,0.09523809523809523,0.21428571428571427,0.9285714285714286,0.5238095238095238,0.9924749185550681,B_response3s_strict_core,topk_top1_non_oracle,False
