split,v0_3_category_cn,count
test,延迟或无明显转向响应,35
test,弱响应/保守响应,46
test,强响应型极限工况,14
test,待人工复核,95
test,排除样本,107
test,正常驾驶/普通弯道对照,19
train,延迟或无明显转向响应,78
train,弱响应/保守响应,118
train,强响应型极限工况,31
train,待人工复核,174
train,排除样本,289
train,正常驾驶/普通弯道对照,53
val,延迟或无明显转向响应,26
val,弱响应/保守响应,44
val,强响应型极限工况,4
val,待人工复核,42
val,排除样本,95
val,正常驾驶/普通弯道对照,14
