split,subject,count
test,byx,23
test,gf,29
test,jy,11
test,lx,29
test,txj,71
test,tyy,4
test,xst,33
test,zdq,27
test,zx,89
train,byx,29
train,cwh,48
train,gf,42
train,gzj,36
train,hzh,65
train,jy,28
train,lx,12
train,lxy,55
train,rjy,47
train,txj,42
train,tyy,21
train,yyl,51
train,yzy,67
train,zdq,66
train,zt,30
train,zx,60
train,zxy,44
val,gf,30
val,gzj,25
val,hzh,27
val,rjy,24
val,yyl,27
val,yzy,11
val,zdq,12
val,zx,33
val,zxy,36
