split,subject,count
test,byx,10
test,gf,9
test,jy,2
test,lx,13
test,txj,31
test,xst,14
test,zdq,7
test,zx,28
train,byx,10
train,cwh,14
train,gf,13
train,gzj,13
train,hzh,24
train,jy,10
train,lx,7
train,lxy,22
train,rjy,20
train,txj,18
train,tyy,16
train,yyl,18
train,yzy,21
train,zdq,28
train,zt,14
train,zx,16
train,zxy,16
val,gf,11
val,gzj,11
val,hzh,7
val,rjy,14
val,yyl,10
val,yzy,2
val,zdq,3
val,zx,13
val,zxy,17
