subj,recording_id,clean_eeg_fif,clean_eeg_exists,raw_eeg_csv,raw_eeg_exists,raw_eeg_size_mb,raw_eeg_col_count,raw_eeg_channel_count,raw_eeg_accel_count,raw_eeg_first_storage_time,clean_sfreq,clean_nchan,clean_duration_s,clean_bad_count,clean_bad_list,clean_ch_names
gzj,2025_09_27_11_38_49,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\gzj\eeg_clean\Entity_Recording_2025_09_27_11_38_49_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\gzj\Entity_Recording_2025_09_27_11_38_49_eeg.csv,True,20.095,37.0,32.0,3.0,2025-09-27 11:38:49.577000,200.0,31.0,112.995,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP1;CP5;FC1;FC5;AF3;PO3
gzj,2025_09_27_11_41_47,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\gzj\eeg_clean\Entity_Recording_2025_09_27_11_41_47_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\gzj\Entity_Recording_2025_09_27_11_41_47_eeg.csv,True,114.371,37.0,32.0,3.0,2025-09-27 11:41:47.946000,200.0,31.0,641.54,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP1;CP5;FC1;FC5;AF3;PO3
gzj,2025_09_27_11_53_25,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\gzj\eeg_clean\Entity_Recording_2025_09_27_11_53_25_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\gzj\Entity_Recording_2025_09_27_11_53_25_eeg.csv,True,105.956,37.0,32.0,3.0,2025-09-27 11:53:25.677000,200.0,31.0,594.42,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP1;CP5;FC1;FC5;AF3;PO3
gzj,2025_09_27_12_04_23,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\gzj\eeg_clean\Entity_Recording_2025_09_27_12_04_23_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\gzj\Entity_Recording_2025_09_27_12_04_23_eeg.csv,True,55.938,37.0,32.0,3.0,2025-09-27 12:04:23.266000,200.0,31.0,314.11,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP1;CP5;FC1;FC5;AF3;PO3
gzj,2025_09_27_12_17_12,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\gzj\eeg_clean\Entity_Recording_2025_09_27_12_17_12_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\gzj\Entity_Recording_2025_09_27_12_17_12_eeg.csv,True,109.579,37.0,32.0,3.0,2025-09-27 12:17:13.042000,200.0,31.0,614.72,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP5;FC1;FC5;AF3;PO3
gzj,2025_09_27_12_28_14,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\gzj\eeg_clean\Entity_Recording_2025_09_27_12_28_14_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\gzj\Entity_Recording_2025_09_27_12_28_14_eeg.csv,True,111.856,37.0,32.0,3.0,2025-09-27 12:28:14.661000,200.0,30.0,627.47,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC5;AF3;PO3
hzh,2025_09_26_20_50_27,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\hzh\eeg_clean\Entity_Recording_2025_09_26_20_50_27_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\hzh\Entity_Recording_2025_09_26_20_50_27_eeg.csv,True,131.267,37.0,32.0,3.0,2025-09-26 20:50:27.197000,200.0,31.0,731.135,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
hzh,2025_09_26_21_03_19,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\hzh\eeg_clean\Entity_Recording_2025_09_26_21_03_19_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\hzh\Entity_Recording_2025_09_26_21_03_19_eeg.csv,True,107.331,37.0,32.0,3.0,2025-09-26 21:03:19.305000,200.0,31.0,598.56,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3
hzh,2025_09_26_21_17_02,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\hzh\eeg_clean\Entity_Recording_2025_09_26_21_17_02_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\hzh\Entity_Recording_2025_09_26_21_17_02_eeg.csv,True,119.28,37.0,32.0,3.0,2025-09-26 21:17:02.541000,200.0,31.0,664.56,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3
hzh,2025_09_27_19_22_27,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\hzh\eeg_clean\Entity_Recording_2025_09_27_19_22_27_eeg_raw_clean_resamp200_ica_final_qc.fif,False,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\hzh\Entity_Recording_2025_09_27_19_22_27_eeg.csv,True,102.108,37.0,32.0,3.0,2025-09-27 19:22:28.018000,,,,,,
