episode_uid,subject_id,record_id,split,v2_0_decision,v2_0_decision_cn,v2_0_decision_detail_cn,v2_0_height_pose_issue,road_coord_is_curve_v1_9,road_coord_mapping_quality_v1_9,z_residual_range_v1_3,z_rise_from_start_v1_4,z_drop_from_start_v1_4,height_jump_suspected_v1_2,z_transient_suspected_v1_3,roadedge_or_offroad_suspected_v1_3,offroad_or_road_recovery_suspected_v1_2,current_text_has_road_keyword,current_text_has_height_keyword,old_text_has_road_keyword_goal2_used,old_text_has_height_keyword_goal2_used,later_old_context_has_road_keyword,later_old_context_has_height_keyword,z_residual_ge_0_50,z_rise_ge_0_50,actual_exclusion_reasons,actual_reason_count,recovery_priority,recovery_suggestion_cn,review_image_path
rec_v1_tyy_2025_09_28_14_44_09_0019,,,,review_mapping_uncertain,道路坐标映射不确定,道路坐标最近邻距离过大，不能可靠判断道路模块；全量重审中先进入道路映射复核。,明显高度异常,True,very_low_review,0.5118263322347367,0.1174299999999997,0.4353300000000004,False,True,True,True,False,False,True,False,False,True,True,False,当前v2.0标记明显高度异常；旧版本文字包含路边/下马路/斜坡类关键词；Goal2 episode_type 已映射为 excluded_slope_or_offroad；旧v1.3高度瞬态标记；旧v1.3路边/路外标记；旧v1.2路外/回路标记；z_residual_range_v1_3 >= 0.50,7,C1_弯道高度变化重点复核,道路坐标显示弯道且高度变化较大；需要区分正常坡道/弯道高程与上斜坡或路边。,
rec_v1_zx_2025_09_27_17_29_08_0017,,,,review_mapping_uncertain,道路坐标映射不确定,道路坐标最近邻距离过大，不能可靠判断道路模块；全量重审中先进入道路映射复核。,明显高度异常,True,very_low_review,0.6985407242397672,0.521160000000001,0.1808299999999993,False,True,True,False,False,False,False,False,False,True,True,True,当前v2.0标记明显高度异常；Goal2 episode_type 已映射为 excluded_slope_or_offroad；旧v1.3高度瞬态标记；旧v1.3路边/路外标记；z_residual_range_v1_3 >= 0.50；z_rise_from_start_v1_4 >= 0.50,6,C1_弯道高度变化重点复核,道路坐标显示弯道且高度变化较大；需要区分正常坡道/弯道高程与上斜坡或路边。,
rec_v1_zx_2025_09_27_18_00_08_0010,,,,review_mapping_uncertain,道路坐标映射不确定,道路坐标最近邻距离过大，不能可靠判断道路模块；全量重审中先进入道路映射复核。,明显高度异常,True,very_low_review,0.6545232546513544,0.2455150000000001,0.4570449999999999,False,True,True,False,False,False,False,False,False,True,True,False,当前v2.0标记明显高度异常；Goal2 episode_type 已映射为 excluded_slope_or_offroad；旧v1.3高度瞬态标记；旧v1.3路边/路外标记；z_residual_range_v1_3 >= 0.50,5,C1_弯道高度变化重点复核,道路坐标显示弯道且高度变化较大；需要区分正常坡道/弯道高程与上斜坡或路边。,
