fold_id,model_name,rmse_steer_train,rmse_delta_vs_rbf_train,wrong_side_rate_train,wrong_side_delta_vs_rbf_train,large_response_recall_train,large_recall_delta_vs_rbf_train,difficult_top20_rmse_train,difficult_rmse_delta_vs_rbf_train,rmse_steer_val,rmse_delta_vs_rbf_val,wrong_side_rate_val,wrong_side_delta_vs_rbf_val,large_response_recall_val,large_recall_delta_vs_rbf_val,difficult_top20_rmse_val,difficult_rmse_delta_vs_rbf_val,rmse_steer_test,rmse_delta_vs_rbf_test,wrong_side_rate_test,wrong_side_delta_vs_rbf_test,large_response_recall_test,large_recall_delta_vs_rbf_test,difficult_top20_rmse_test,difficult_rmse_delta_vs_rbf_test,abs_train_val_delta_gap,score_stability_l05,score_stability_l10
0,rbf_resid_keypoint_scaled,0.32102608457029236,-0.011098350279875546,0.029069767441860465,-0.01744186046511628,0.9767441860465116,0.0,0.46457835956796717,-0.05545381082201334,0.5236340605512871,-0.013187520903560235,0.06818181818181818,0.0,0.8181818181818182,0.18181818181818188,0.8784351500785269,-0.09111852648265628,0.6176136370390669,0.011823370871185568,0.2037037037037037,0.0,0.7142857142857143,0.1428571428571429,0.9178325973866829,-0.008976779517218092,0.0020891706236846885,-0.01214293559171789,-0.011098350279875546
0,rbf_resid_keypoint_scaled_blend_50,0.3167306484926175,-0.015393786357550399,0.040697674418604654,-0.0058139534883720895,1.0,0.023255813953488413,0.47629218635939485,-0.043739984030585655,0.525234163413925,-0.011587418040922337,0.06818181818181818,0.0,0.8181818181818182,0.18181818181818188,0.9170434329519113,-0.05251024360927192,0.6084203936492594,0.0026301274813780307,0.2222222222222222,0.018518518518518517,0.5714285714285714,0.0,0.9202438463965398,-0.006565530507361195,0.0038063683166280615,-0.009684233882608306,-0.0077810497242942755
0,rbf_abs_keypoint_scaled_blend_50,0.3200985331728088,-0.012025901677359119,0.040697674418604654,-0.0058139534883720895,0.9767441860465116,0.0,0.4908915644131164,-0.02914060597686413,0.5334330278525455,-0.003388553602301836,0.06818181818181818,0.0,0.8181818181818182,0.18181818181818188,0.9274044431284798,-0.04214923343270338,0.6117481378281157,0.005957871660234315,0.2037037037037037,0.0,0.5714285714285714,0.0,0.9246174074797441,-0.002191969424156892,0.008637348075057283,0.0009301204352268055,0.005248794472755447
0,rbf_abs_keypoint_scaled,0.3283433996118329,-0.0037810352383350065,0.05813953488372093,0.011627906976744186,0.9534883720930233,-0.023255813953488302,0.4915009617172379,-0.028531208672742614,0.5383913160029599,0.0015697345481124891,0.09090909090909091,0.022727272727272735,0.8181818181818182,0.18181818181818188,0.893684615831033,-0.0758690607301502,0.6248538689170784,0.01906360274919705,0.18518518518518517,-0.018518518518518517,0.5714285714285714,0.0,0.9271776510858286,0.0003682741819276414,0.005350769786447496,0.004245119441336237,0.006920504334559985
0,segment_resid_rf_blend_25,0.3467272270601121,0.014602792209944204,0.046511627906976744,0.0,1.0,0.023255813953488413,0.5461749365711873,0.02614276618120681,0.5394770292252741,0.0026554477704267,0.06818181818181818,0.0,0.7272727272727273,0.09090909090909094,0.988068803560008,0.01851512699882485,0.5977018301224055,-0.008088436045475822,0.2037037037037037,0.0,0.5714285714285714,0.0,0.9252108139029643,-0.001598563000936637,0.011947344439517504,0.008629119990185452,0.014602792209944204
0,segment_abs_rf_blend_25,0.34728066377715194,0.015156228926984039,0.05232558139534884,0.005813953488372096,1.0,0.023255813953488413,0.5505861784710347,0.03055400808105424,0.5430036424625029,0.006182061007655504,0.06818181818181818,0.0,0.5454545454545454,-0.09090909090909094,0.9921226163010342,0.02256893973985097,0.60021858356102,-0.005571682606861361,0.2037037037037037,0.0,0.5714285714285714,0.0,0.9239503321997026,-0.002859044704198399,0.008974167919328535,0.010669144967319771,0.015156228926984039
0,segment_resid_rf_blend_50,0.3833264525296776,0.051202017679509715,0.046511627906976744,0.0,0.9767441860465116,0.0,0.6051753801560954,0.08514320976611489,0.555074469649627,0.01825288819477966,0.06818181818181818,0.0,0.8181818181818182,0.18181818181818188,1.025773124615041,0.05621944805385781,0.5984732529783219,-0.0073170131895594626,0.2222222222222222,0.018518518518518517,0.5714285714285714,0.0,0.9283414057202122,0.001532028816311204,0.032949129484730055,0.03472745293714469,0.051202017679509715
0,segment_abs_rf_blend_50,0.38364306698987427,0.051518632139706366,0.05232558139534884,0.005813953488372096,0.9767441860465116,0.0,0.6108985801340638,0.09086640974408333,0.5626391456670287,0.025817564212181288,0.06818181818181818,0.0,0.6363636363636364,0.0,1.032623715538511,0.06307003897732777,0.6035931100648545,-0.0021971561030268427,0.2037037037037037,0.0,0.5714285714285714,0.0,0.9256765470226372,-0.0011328298812637305,0.02570106792752508,0.03866809817594383,0.051518632139706366
0,segment_resid_rf_piecewise,0.5007961454223444,0.1686717105721765,0.046511627906976744,0.0,0.9767441860465116,0.0,0.7888392502213691,0.26880707983138863,0.6203986995558349,0.08357711810098756,0.09090909090909091,0.022727272727272735,0.8181818181818182,0.18181818181818188,1.1502722649950636,0.18071858843388044,0.6260887388142828,0.0202984726464015,0.2037037037037037,0.0,0.7142857142857143,0.1428571428571429,0.9485320707087695,0.021722693804868576,0.08509459247118895,0.12612441433658203,0.1686717105721765
0,segment_abs_rf_piecewise,0.49918039192743924,0.16705595707727133,0.05232558139534884,0.005813953488372096,0.9767441860465116,0.0,0.7907728607296153,0.27074069033963477,0.6364631175239122,0.09964153606906478,0.06818181818181818,0.0,0.8181818181818182,0.18181818181818188,1.1591007126806874,0.1895470361195042,0.6362347351433195,0.030444468975438177,0.18518518518518517,-0.018518518518518517,0.5714285714285714,0.0,0.9427171869437361,0.015907810039835102,0.06741442100820655,0.13334874657316806,0.16705595707727133
