window_config_id,split_strategy,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,rbf_ref_rmse,rbf_ref_wrong_side,rbf_ref_large_recall,rbf_ref_difficult_rmse,rmse_delta_vs_rbf,wrong_side_delta_vs_rbf,large_recall_delta_vs_rbf,difficult_rmse_delta_vs_rbf,fold_id,model_name,split,policy_name,selected_model,selection_rule
pre3_label3_response_coverage,session_level_split,172,0.3321244348501679,0.9534883720930233,0.046511627906976744,0.9767441860465116,0.28853429161921834,0.9960101566859992,0.023255813953488372,0.2807267395736173,0.20296511707047737,0.1124213742346741,0.023255813953488372,0.06976744186046512,0.06395348837209303,0.9127906976744186,0.9534883720930233,0.5200321703899805,B_response3s_strict_core,0.3321244348501679,0.046511627906976744,0.9767441860465116,0.5200321703899805,0.0,0.0,0.0,0.0,0,rbf_kernel_ridge_context_no_subject,train,always_rbf_reference,rbf_kernel_ridge_context_no_subject,reference
pre3_label3_response_coverage,session_level_split,44,0.5368215814548474,0.9318181818181818,0.06818181818181818,0.6363636363636364,0.47198264385488903,1.3490602743774782,0.22727272727272727,0.38943181999705057,0.3975000030530447,0.1636316975292919,0.09090909090909091,0.13636363636363635,0.022727272727272728,0.9545454545454546,0.9772727272727273,0.9695536765611832,B_response3s_strict_core,0.5368215814548474,0.06818181818181818,0.6363636363636364,0.9695536765611832,0.0,0.0,0.0,0.0,0,rbf_kernel_ridge_context_no_subject,val,always_rbf_reference,rbf_kernel_ridge_context_no_subject,reference
pre3_label3_response_coverage,session_level_split,54,0.6057902661678813,0.7962962962962963,0.2037037037037037,0.5714285714285714,0.390383738886427,1.311391236039364,0.18518518518518517,0.5672222160630755,0.32675925814719115,0.17626479185289806,0.07407407407407407,0.09259259259259259,0.018518518518518517,0.9629629629629629,1.0,0.926809376903901,B_response3s_strict_core,0.6057902661678813,0.2037037037037037,0.5714285714285714,0.926809376903901,0.0,0.0,0.0,0.0,0,rbf_kernel_ridge_context_no_subject,test,always_rbf_reference,rbf_kernel_ridge_context_no_subject,reference
pre3_label3_response_coverage,session_level_split,172,0.32102608457029236,0.9709302325581395,0.029069767441860465,0.9767441860465116,0.2175780725557097,1.061140405370552,0.029069767441860465,0.2958720923336439,0.2205813950100957,0.07594445948543158,0.01744186046511628,0.05813953488372093,0.06976744186046512,0.9127906976744186,0.9651162790697675,0.46457835956796717,B_response3s_strict_core,0.3321244348501679,0.046511627906976744,0.9767441860465116,0.5200321703899805,-0.011098350279875546,-0.01744186046511628,0.0,-0.05545381082201334,0,rbf_resid_keypoint_scaled,train,stage7g_original_val_gate,rbf_resid_keypoint_scaled,val_rmse_improvement_gt_0_002
pre3_label3_response_coverage,session_level_split,44,0.5236340605512871,0.9318181818181818,0.06818181818181818,0.8181818181818182,0.41957939306104725,1.3936582807167834,0.20454545454545456,0.4393181841481816,0.393863639540293,0.16777598740405997,0.13636363636363635,0.13636363636363635,0.022727272727272728,0.9545454545454546,0.9772727272727273,0.8784351500785269,B_response3s_strict_core,0.5368215814548474,0.06818181818181818,0.6363636363636364,0.9695536765611832,-0.013187520903560235,0.0,0.18181818181818188,-0.09111852648265628,0,rbf_resid_keypoint_scaled,val,stage7g_original_val_gate,rbf_resid_keypoint_scaled,val_rmse_improvement_gt_0_002
pre3_label3_response_coverage,session_level_split,54,0.6176136370390669,0.7962962962962963,0.2037037037037037,0.7142857142857143,0.413079625616471,1.190698456281582,0.14814814814814814,0.5753703674784413,0.28120369945342344,0.19626576224066042,0.12962962962962962,0.12962962962962962,0.037037037037037035,0.9629629629629629,0.9629629629629629,0.9178325973866829,B_response3s_strict_core,0.6057902661678813,0.2037037037037037,0.5714285714285714,0.926809376903901,0.011823370871185568,0.0,0.1428571428571429,-0.008976779517218092,0,rbf_resid_keypoint_scaled,test,stage7g_original_val_gate,rbf_resid_keypoint_scaled,val_rmse_improvement_gt_0_002
pre3_label3_response_coverage,session_level_split,172,0.32102608457029236,0.9709302325581395,0.029069767441860465,0.9767441860465116,0.2175780725557097,1.061140405370552,0.029069767441860465,0.2958720923336439,0.2205813950100957,0.07594445948543158,0.01744186046511628,0.05813953488372093,0.06976744186046512,0.9127906976744186,0.9651162790697675,0.46457835956796717,B_response3s_strict_core,0.3321244348501679,0.046511627906976744,0.9767441860465116,0.5200321703899805,-0.011098350279875546,-0.01744186046511628,0.0,-0.05545381082201334,0,rbf_resid_keypoint_scaled,train,stability_penalty_l05,rbf_resid_keypoint_scaled,score=val_delta+0.5*abs(train_delta-val_delta)
pre3_label3_response_coverage,session_level_split,44,0.5236340605512871,0.9318181818181818,0.06818181818181818,0.8181818181818182,0.41957939306104725,1.3936582807167834,0.20454545454545456,0.4393181841481816,0.393863639540293,0.16777598740405997,0.13636363636363635,0.13636363636363635,0.022727272727272728,0.9545454545454546,0.9772727272727273,0.8784351500785269,B_response3s_strict_core,0.5368215814548474,0.06818181818181818,0.6363636363636364,0.9695536765611832,-0.013187520903560235,0.0,0.18181818181818188,-0.09111852648265628,0,rbf_resid_keypoint_scaled,val,stability_penalty_l05,rbf_resid_keypoint_scaled,score=val_delta+0.5*abs(train_delta-val_delta)
pre3_label3_response_coverage,session_level_split,54,0.6176136370390669,0.7962962962962963,0.2037037037037037,0.7142857142857143,0.413079625616471,1.190698456281582,0.14814814814814814,0.5753703674784413,0.28120369945342344,0.19626576224066042,0.12962962962962962,0.12962962962962962,0.037037037037037035,0.9629629629629629,0.9629629629629629,0.9178325973866829,B_response3s_strict_core,0.6057902661678813,0.2037037037037037,0.5714285714285714,0.926809376903901,0.011823370871185568,0.0,0.1428571428571429,-0.008976779517218092,0,rbf_resid_keypoint_scaled,test,stability_penalty_l05,rbf_resid_keypoint_scaled,score=val_delta+0.5*abs(train_delta-val_delta)
pre3_label3_response_coverage,session_level_split,173,0.3659318708280339,0.9364161849710982,0.06358381502890173,0.8863636363636364,0.35784324361926556,0.9883767284286437,0.07514450867052024,0.33138728873922646,0.2833815037105986,0.10130735268486032,0.011560693641618497,0.06358381502890173,0.04046242774566474,0.9248554913294798,0.9942196531791907,0.5550264009689614,B_response3s_strict_core,0.3659318708280339,0.06358381502890173,0.8863636363636364,0.5550264009689614,0.0,0.0,0.0,0.0,1,rbf_kernel_ridge_context_no_subject,train,always_rbf_reference,rbf_kernel_ridge_context_no_subject,reference
pre3_label3_response_coverage,session_level_split,43,0.601712800132723,0.9069767441860465,0.09302325581395349,0.45454545454545453,0.48136302854779156,0.9061042667767547,0.18604651162790697,0.3794186073680257,0.3938372051126735,0.20506290635459537,0.046511627906976744,0.046511627906976744,0.0,0.9534883720930233,0.9767441860465116,0.9904200537360716,B_response3s_strict_core,0.601712800132723,0.09302325581395349,0.45454545454545453,0.9904200537360716,0.0,0.0,0.0,0.0,1,rbf_kernel_ridge_context_no_subject,val,always_rbf_reference,rbf_kernel_ridge_context_no_subject,reference
pre3_label3_response_coverage,session_level_split,54,0.6081335040466552,0.7962962962962963,0.2037037037037037,0.4166666666666667,0.4985725582817077,3.161644135415685,0.24074074074074073,0.5609259329460285,0.4408333344316041,0.18190235695052745,0.09259259259259259,0.09259259259259259,0.0,0.9259259259259259,0.9814814814814815,0.9200023915143355,B_response3s_strict_core,0.6081335040466552,0.2037037037037037,0.4166666666666667,0.9200023915143355,0.0,0.0,0.0,0.0,1,rbf_kernel_ridge_context_no_subject,test,always_rbf_reference,rbf_kernel_ridge_context_no_subject,reference
