model_name,status,selected_gamma,selected_gamma_scale,selected_alpha,val_rmse,train_rmse,selection_metric,uses_subject_id,uses_physio,uses_eeg,uses_continuous_style,standardization_scope,fold_id,train_n,val_n,test_n,feature_protocol
rbf_kernel_ridge_context_no_subject,ok,0.0051252127449199466,0.5,0.1,0.5368216037750244,0.3321244418621063,val_rmse,False,False,False,False,train split scaler + train-variance distance feature selection only,0,172,44,54,retrained_rbf_context_only
rbf_kernel_ridge_context_no_subject,ok,0.0033812216767770092,0.5,0.1,0.6017128229141235,0.3659318685531616,val_rmse,False,False,False,False,train split scaler + train-variance distance feature selection only,1,173,43,54,retrained_rbf_context_only
rbf_kernel_ridge_context_no_subject,ok,0.02514819251778726,2.0,0.1,0.504042387008667,0.2190195918083191,val_rmse,False,False,False,False,train split scaler + train-variance distance feature selection only,2,173,43,54,retrained_rbf_context_only
rbf_kernel_ridge_context_no_subject,ok,0.004813048493687483,0.5,1.0,0.49102768301963806,0.5655421614646912,val_rmse,False,False,False,False,train split scaler + train-variance distance feature selection only,3,173,43,54,retrained_rbf_context_only
rbf_kernel_ridge_context_no_subject,ok,0.0025481895454463246,0.25,0.1,0.4934227466583252,0.4157513678073883,val_rmse,False,False,False,False,train split scaler + train-variance distance feature selection only,4,173,43,54,retrained_rbf_context_only
