subject,session_stamp,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,read_status,read_error,raw_rows,duration_s,non_steering_seed_count,merged_episode_count
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,ok,,226175,565.435,54,27
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,ok,,213504,533.76,66,25
byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,234154,585.39,62,29
byx,2025_09_28_17_35_43,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,ok,,234346,585.865,80,34
byx,2025_09_28_17_46_00,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,e481ab16165d90e97b5f7ad4a9b5644609e28fb96223f013026d1f1f88437463,ok,,218967,547.416,73,28
cwh,2025_09_26_19_23_28,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_23_28_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_23_28_vehicle.csv,c9ae8b2b55355449f073e1a9de5f1f183c1d5d3b724dad0ea8b7dce9a77d1812,ok,,65619,164.045,6,5
cwh,2025_09_26_19_27_21,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_27_21_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_27_21_vehicle.csv,5990b24325f474f71ba9b64920ced7ea4748d301d3b46d74c85d72d84924dc63,ok,,173573,433.93,29,19
cwh,2025_09_26_19_35_47,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_35_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_35_47_vehicle.csv,f62a7f66b19ff747f4e688cd8d24fbf18a0388155a0f1ab37ca87fa018478d9f,ok,,109883,549.41,31,20
cwh,2025_09_26_19_45_40,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_45_40_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_45_40_vehicle.csv,84d62a3d6c6629280b4a509503cfcc9aca56bb2fd67cc033d64040913d12a5d4,ok,,215593,538.98,29,17
cwh,2025_09_26_19_56_16,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_56_16_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_56_16_vehicle.csv,8b7c9cac7da23d7bf54d3e61d12170f5967ca715dc59a389e45fbf9008b2efa5,ok,,210391,525.976,42,20
cwh,2025_09_26_20_06_19,原始车辆数据/cwh/Entity_Recording_2025_09_26_20_06_19_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_20_06_19_vehicle.csv,df471111c5e9f3f57bc55cf9cd8c6befc78ac4d5408e5039273c5c661005f7cc,ok,,201793,504.48,38,19
gf,2025_09_26_10_03_00,原始车辆数据/gf/Entity_Recording_2025_09_26_10_03_00_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_03_00_vehicle.csv,1e4232604e33cbf98c8e524d44c86abf65e3f9c0068e3630f80dfb47e73c793f,ok,,263709,659.27,30,11
