sample_id,event_uid,subject,session_stamp,window_config_id,split,split_strategy,track_id,gt_peak_abs,is_large_response,is_difficult_peak_top20,sample_rmse__keypoint_residual_vehicle_transformer_no_subject,sample_rmse__rbf_kernel_ridge_context_no_subject,wrong_side__keypoint_residual_vehicle_transformer_no_subject,wrong_side__rbf_kernel_ridge_context_no_subject,large_response_recalled__keypoint_residual_vehicle_transformer_no_subject,large_response_recalled__rbf_kernel_ridge_context_no_subject,severe_amp_under__keypoint_residual_vehicle_transformer_no_subject,severe_amp_under__rbf_kernel_ridge_context_no_subject,peak_amp_abs_error__keypoint_residual_vehicle_transformer_no_subject,peak_amp_abs_error__rbf_kernel_ridge_context_no_subject,peak_time_abs_error_s__keypoint_residual_vehicle_transformer_no_subject,peak_time_abs_error_s__rbf_kernel_ridge_context_no_subject,onset_delay_abs_error_s__keypoint_residual_vehicle_transformer_no_subject,onset_delay_abs_error_s__rbf_kernel_ridge_context_no_subject,tail_abs_error__keypoint_residual_vehicle_transformer_no_subject,tail_abs_error__rbf_kernel_ridge_context_no_subject,tail_drift_risk__keypoint_residual_vehicle_transformer_no_subject,tail_drift_risk__rbf_kernel_ridge_context_no_subject,zero_crossing_mismatch__keypoint_residual_vehicle_transformer_no_subject,zero_crossing_mismatch__rbf_kernel_ridge_context_no_subject,reversal_count_exact__keypoint_residual_vehicle_transformer_no_subject,reversal_count_exact__rbf_kernel_ridge_context_no_subject,pred_peak_abs__keypoint_residual_vehicle_transformer_no_subject,pred_peak_abs__rbf_kernel_ridge_context_no_subject,pred_reversal_count__keypoint_residual_vehicle_transformer_no_subject,pred_reversal_count__rbf_kernel_ridge_context_no_subject,pred_multi_segment__keypoint_residual_vehicle_transformer_no_subject,pred_multi_segment__rbf_kernel_ridge_context_no_subject,anchor_time_rel_s,curvature_anchor,input_valid_ratio,event_type,event_level,road_type_anchor,old_v400_road_type_mode,old_v400_phase_mode,road_design_module_name,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability,keypoint_better_rmse,rmse_delta_keypoint_minus_rbf,pred_peak_abs__delta_keypoint_minus_rbf,pred_reversal_count__delta_keypoint_minus_rbf,pred_multi_segment__delta_keypoint_minus_rbf,selector_prob_keypoint,selector_threshold,selected_model,selected_keypoint,oracle_keypoint,selection_outcome,sample_rmse_rbf,sample_rmse_keypoint,sample_rmse_selected,sample_rmse_oracle,selector_regret_vs_oracle,selector_delta_vs_rbf,keypoint_delta_vs_rbf,selector_helped_rbf,selector_hurt_rbf,wrong_side__selected,wrong_side__delta_selected_minus_rbf,large_response_recalled__selected,large_response_recalled__delta_selected_minus_rbf,severe_amp_under__selected,severe_amp_under__delta_selected_minus_rbf,tail_drift_risk__selected,tail_drift_risk__delta_selected_minus_rbf,zero_crossing_mismatch__selected,zero_crossing_mismatch__delta_selected_minus_rbf,reversal_count_exact__selected,reversal_count_exact__delta_selected_minus_rbf
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,pre3_label3_response_coverage,train,session_level_split,B_response3s_strict_core,1.944647192955017,1,1,0.5867450833320618,0.2963285148143768,0.0,0.0,1.0,1.0,0.0,0.0,0.6217308044433594,0.6094933748245239,0.4199999570846557,0.1149998903274536,0.8099999874830246,0.0150000005960464,0.1688728649169206,0.0949705988168716,0.0,0.0,0.0,0.0,0.0,0.0,1.3229163885116575,1.3351538181304932,1.0,129.0,0.0,1.0,60.84,0.0,1.0,instability_ay_roll,extreme_active,straight,straight,primary,middle_section,section2,design_regular_road,high,0,0.290416568517685,-0.0122374296188356,-128.0,-1.0,0.1484684471150439,0.55,rbf_kernel_ridge_context_no_subject,0,0,TN_keep_rbf_correct,0.2963285148143768,0.5867450833320618,0.2963285148143768,0.2963285148143768,0.0,0.0,0.290416568517685,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,pre3_label3_response_coverage,train,session_level_split,B_response3s_strict_core,0.9477140307426452,0,0,0.2977825701236725,0.2836828827857971,0.0,0.0,0.0,0.0,0.0,0.0,0.2413119673728943,0.0246953964233398,0.5950000286102295,0.4750000238418579,0.0400000214576721,0.6499999836087227,0.0668004360049963,0.1279376447200775,0.0,0.0,1.0,0.0,0.0,0.0,1.1890259981155396,0.9230186343193054,1.0,75.0,0.0,1.0,187.815,0.0,1.0,instability_ay_roll,strong_active,straight,straight,secondary,middle_section,section3,design_regular_road,low,0,0.0140996873378753,0.2660073637962341,-74.0,-1.0,0.5496869403194206,0.55,rbf_kernel_ridge_context_no_subject,0,0,TN_keep_rbf_correct,0.2836828827857971,0.2977825701236725,0.2836828827857971,0.2836828827857971,0.0,0.0,0.014099687337875366,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,pre3_label3_response_coverage,train,session_level_split,B_response3s_strict_core,1.3292438983917236,0,0,0.5442298054695129,0.2333856970071792,0.0,0.0,0.0,0.0,1.0,0.0,0.8471901714801788,0.4352961182594299,0.9549999237060548,0.0449998378753662,0.2900000214576721,0.1200000047683715,0.2433605268597602,0.005930483341217,0.0,0.0,1.0,0.0,0.0,0.0,0.4820537269115448,0.8939477801322937,0.0,155.0,0.0,1.0,349.3,-0.00025321,1.0,instability_ay_roll,extreme_active,straight,straight,secondary,curve2,curve2,design_curve_context,very_low,0,0.3108441084623337,-0.4118940532207489,-155.0,-1.0,0.0673928919645307,0.55,rbf_kernel_ridge_context_no_subject,0,0,TN_keep_rbf_correct,0.2333856970071792,0.5442298054695129,0.2333856970071792,0.2333856970071792,0.0,0.0,0.31084410846233373,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,pre3_label3_response_coverage,train,session_level_split,B_response3s_strict_core,2.1975419521331787,1,1,0.7945338487625122,0.6231074333190918,0.0,0.0,1.0,1.0,0.0,0.0,1.024327516555786,0.8942404985427856,0.0649999380111694,0.0850000381469726,0.7050000131130219,0.6099999845027924,0.0773244313895702,0.0454297140240669,0.0,0.0,1.0,0.0,0.0,0.0,1.1732144355773926,1.303301453590393,1.0,157.0,0.0,1.0,58.865,0.0,1.0,instability_ay_roll,extreme_active,straight,straight,secondary,middle_section,section2,design_regular_road,high,0,0.1714264154434204,-0.1300870180130005,-156.0,-1.0,0.2021482167984111,0.55,rbf_kernel_ridge_context_no_subject,0,0,TN_keep_rbf_correct,0.6231074333190918,0.7945338487625122,0.6231074333190918,0.6231074333190918,0.0,0.0,0.1714264154434204,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,pre3_label3_response_coverage,train,session_level_split,B_response3s_strict_core,1.7027480602264404,1,0,0.7579103112220764,0.2145424932241439,0.0,0.0,0.0,1.0,1.0,0.0,1.1905019879341123,0.2555558681488037,0.2300000190734863,0.0850000381469726,1.1649999916553495,0.0600000023841857,0.4884843528270721,0.0927406400442123,0.0,0.0,1.0,0.0,0.0,0.0,0.5122460722923279,1.4471921920776367,0.0,90.0,0.0,1.0,131.145,-0.00729802,1.0,instability_ay_roll,strong_active,curve,curve,secondary,curve1,curve1,design_curve_context,high,0,0.5433678179979325,-0.9349461197853088,-90.0,-1.0,0.0352202114074028,0.55,rbf_kernel_ridge_context_no_subject,0,0,TN_keep_rbf_correct,0.2145424932241439,0.7579103112220764,0.2145424932241439,0.2145424932241439,0.0,0.0,0.5433678179979325,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,pre3_label3_response_coverage,train,session_level_split,B_response3s_strict_core,0.9564404487609864,0,0,0.2075892835855484,0.1462903767824173,0.0,0.0,0.0,0.0,0.0,0.0,0.4029932022094726,0.2881791591644287,0.1749999523162841,0.0,0.1450000405311584,0.024999976158142,0.2046884335577488,0.1217870898544788,0.0,0.0,1.0,0.0,0.0,0.0,1.359433650970459,1.244619607925415,1.0,84.0,0.0,1.0,216.345,0.0,1.0,instability_ay_roll,strong_active,straight,straight,secondary,fix_road,fix_road,design_special_event_segment,low,0,0.0612989068031311,0.1148140430450439,-83.0,-1.0,0.5662805925697431,0.55,keypoint_residual_vehicle_transformer_no_subject,1,0,FP_select_keypoint_hurts,0.1462903767824173,0.2075892835855484,0.2075892835855484,0.1462903767824173,0.061298906803131104,0.061298906803131104,0.061298906803131104,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,pre3_label3_response_coverage,train,session_level_split,B_response3s_strict_core,0.102970004081726,0,0,0.1069571152329444,0.0118708098307251,1.0,0.0,0.0,0.0,0.0,0.0,0.034395232796669,0.0127601027488708,1.375,0.2249999642372131,1.2850000262260437,0.0,0.0038392823189496,0.0045155622065067,0.0,0.0,1.0,0.0,0.0,1.0,0.137365236878395,0.0902099013328552,0.0,1.0,0.0,0.0,65.55,-0.0,1.0,instability_ay_roll,instability_extreme,design_regular_road,none,none,middle_section,section2,design_regular_road,medium,0,0.0950863054022193,0.0471553355455398,-1.0,0.0,0.0023378855598652,0.55,rbf_kernel_ridge_context_no_subject,0,0,TN_keep_rbf_correct,0.0118708098307251,0.1069571152329444,0.0118708098307251,0.0118708098307251,0.0,0.0,0.09508630540221931,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,pre3_label3_response_coverage,train,session_level_split,B_response3s_strict_core,1.3950433731079102,0,0,1.0133368968963623,0.2402490526437759,0.0,0.0,0.0,0.0,1.0,0.0,1.1649662256240845,0.1320234537124633,0.2700001001358032,1.1750000715255735,2.790000006556511,0.0449999868869781,0.0819824337959289,0.182657316327095,0.0,0.0,0.0,0.0,0.0,0.0,0.2300771474838256,1.2630199193954468,0.0,167.0,0.0,1.0,164.15,-0.00729802,1.0,instability_ay_roll,strong_active,curve,curve,secondary,curve1,curve1,design_curve_context,high,0,0.7730878442525864,-1.032942771911621,-167.0,-1.0,0.0735084271337623,0.55,rbf_kernel_ridge_context_no_subject,0,0,TN_keep_rbf_correct,0.2402490526437759,1.0133368968963623,0.2402490526437759,0.2402490526437759,0.0,0.0,0.7730878442525864,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,pre3_label3_response_coverage,train,session_level_split,B_response3s_strict_core,0.0362999439239501,0,0,0.1911412924528122,0.0062738512642681,0.0,0.0,0.0,0.0,0.0,0.0,0.4755406379699707,0.0040393397212028,0.2550001144409179,0.0099999904632568,0.7799999713897705,0.375,0.0023579783737659,0.0026199575513601,0.0,0.0,1.0,0.0,0.0,1.0,0.5118405818939209,0.040339283645153,1.0,2.0,0.0,1.0,275.87,-0.0,1.0,instability_ay_roll,instability_extreme,design_special_event_segment,none,none,fix_road,fix_road,design_special_event_segment,low,0,0.1848674411885441,0.4715012982487679,-1.0,-1.0,0.0958607390060664,0.55,rbf_kernel_ridge_context_no_subject,0,0,TN_keep_rbf_correct,0.0062738512642681,0.1911412924528122,0.0062738512642681,0.0062738512642681,0.0,0.0,0.1848674411885441,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,pre3_label3_response_coverage,train,session_level_split,B_response3s_strict_core,1.3728759288787842,0,0,0.5866867303848267,0.216630607843399,0.0,0.0,0.0,0.0,0.0,0.0,0.2136944532394409,0.2833201885223388,0.5999999046325684,0.1049998998641967,0.5699999928474426,0.0649999976158142,0.238954896107316,0.127686470746994,0.0,0.0,0.0,0.0,0.0,0.0,1.1591814756393433,1.089555740356445,1.0,165.0,0.0,1.0,384.19,-0.0,1.0,instability_ay_roll,strong_active,straight,straight,secondary,middle_section,section5,design_regular_road,very_low,0,0.3700561225414276,0.0696257352828981,-164.0,-1.0,0.6769554683203333,0.55,keypoint_residual_vehicle_transformer_no_subject,1,0,FP_select_keypoint_hurts,0.216630607843399,0.5866867303848267,0.5866867303848267,0.216630607843399,0.37005612254142767,0.37005612254142767,0.37005612254142767,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
