group_type,group_value,n_samples,selected_keypoint_rate,oracle_keypoint_better_rate,selector_helped_count,selector_hurt_count,mean_delta_vs_rbf,mean_regret_vs_oracle,mean_prob_keypoint
event_level,weak,3,0.3333333333333333,0.6666666666666666,0,1,0.14804112911224368,0.21202810605367028,0.2692591211744017
event_level,instability_medium,1,0.0,1.0,0,0,0.0,0.06403028964996339,0.0065554732514796
event_level,strong_active,21,0.38095238095238093,0.42857142857142855,4,4,-0.003248063581330421,0.062492371315047854,0.4518450783150589
event_level,medium_active,4,0.25,0.75,1,0,-0.0381552390754223,0.061842955648899064,0.44260843115032233
event_level,extreme_active,10,0.1,0.2,0,1,0.005450204014778137,0.010505175590515125,0.28880388928058365
event_level,instability_strong,1,0.0,0.0,0,0,0.0,0.0,0.1672369188037776
is_difficult_peak_top20,0,33,0.30303030303030304,0.48484848484848486,4,6,0.013111054897308358,0.07166296920993111,0.3843153424526985
is_difficult_peak_top20,1,7,0.14285714285714285,0.14285714285714285,1,0,-0.022124239376613057,0.0,0.3494832452375389
is_large_response,0,32,0.3125,0.5,4,6,0.013520775362849242,0.07390243699774146,0.3873373054259267
is_large_response,1,8,0.125,0.125,1,0,-0.019358709454536424,0.0,0.3417494054965211
road_design_module_name,curve1,7,0.14285714285714285,0.7142857142857143,0,1,0.014216533729008265,0.13315476264272416,0.1688017714912619
road_design_module_name,curve2,2,0.0,1.0,0,0,0.0,0.1051931232213974,0.2253382297639531
road_design_module_name,middle_section,19,0.3684210526315789,0.2631578947368421,2,5,0.02035765349864961,0.053027134976888955,0.4466233559521196
road_design_module_name,differentmu_road,5,0.4,0.6,2,0,-0.03655807077884674,0.030172508955001832,0.4515749158647463
road_design_module_name,fix_road,6,0.16666666666666666,0.3333333333333333,1,0,-0.004287610451380398,0.010671714941660566,0.38000780710168186
road_design_module_name,longstraight,1,0.0,0.0,0,0,0.0,0.0,0.4727349726109894
subject,zx,4,0.0,0.75,0,0,0.0,0.1957946941256523,0.11530207248305128
subject,gf,4,0.5,0.5,1,1,0.07231342792510992,0.13515816628932953,0.6044600447866165
subject,gzj,9,0.4444444444444444,0.3333333333333333,1,3,0.01057760583029853,0.059717923402786255,0.4217117575330916
subject,zxy,2,0.5,0.5,0,1,0.03405354917049411,0.05814172327518466,0.5117892539402961
subject,hzh,14,0.14285714285714285,0.2857142857142857,1,1,-0.008490647588457386,0.025766801621232713,0.3252166136888852
subject,byx,2,0.5,1.0,1,0,-0.012862831354141194,0.012687042355537415,0.4538924525771969
subject,tyy,2,0.0,0.5,0,0,0.0,0.000606238842010498,0.2515698636352314
subject,yyl,3,0.3333333333333333,0.3333333333333333,1,0,-0.0100564658641815,0.0,0.4889329995918283
