window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,source_artifact,model_order,display_name,source_group,uses_subject_id,uses_physio,uses_eeg,uses_continuous_style,multi_segment_rate_abs_gap
pre2_label2_old_main,session_level_split,test,zero_response_hold_current,139,0.6835137112523157,0.5179856115107914,0.4820143884892086,0.0,0.9368865092238076,0.0,1.0,1.5154316586127383,1.5854316546092573,0.7253123370917152,0.8201438848920863,0.8633093525179856,0.0647482014388489,0.6762589928057554,0.0,1.3223112055387447,stage03_vehicle_instability_formal_baselines_v0_1,0,zero hold,no_learning,False,False,False,False,0.6762589928057554
pre2_label2_old_main,session_level_split,test,history_trend_500ms,139,1.0738922090505882,0.237410071942446,0.762589928057554,0.64,0.4709654947369704,1.559471277988442,0.1294964028776978,0.4797122257647754,0.4180215831524391,1.4866143276736143,0.920863309352518,0.8633093525179856,0.0647482014388489,0.6762589928057554,0.0,1.6750811862763313,stage03_vehicle_instability_formal_baselines_v0_1,1,history trend,no_learning,False,False,False,False,0.6762589928057554
pre2_label2_old_main,session_level_split,test,train_mean_all,139,0.6857890778260216,0.4820143884892086,0.5179856115107914,0.0,0.861592602547553,0.2214218086315898,0.9424460431654677,0.9719784103280348,1.4059712239708615,0.7245389497001394,0.7913669064748201,0.1366906474820144,0.2589928057553957,0.6762589928057554,0.0,1.3267820116335882,stage03_vehicle_instability_formal_baselines_v0_1,2,train mean,no_learning,False,False,False,False,0.6762589928057554
pre2_label2_old_main,session_level_split,test,train_mean_by_event_type,139,0.6772120012806363,0.5683453237410072,0.4316546762589928,0.0,0.8470647646208033,0.2471281098220318,0.9136690647482014,0.6161510736393414,1.352985612069853,0.7191659733251059,0.7985611510791367,0.1366906474820144,0.0863309352517985,0.6762589928057554,0.3669064748201439,1.3183633648238398,stage03_vehicle_instability_formal_baselines_v0_1,3,event mean,no_learning,False,False,False,False,0.30935251798561153
pre2_label2_old_main,session_level_split,test,ridge_vehicle_history_no_subject,139,0.707027493033099,0.7122302158273381,0.2877697841726618,0.12,0.6219019196766744,1.7505871809535405,0.5107913669064749,0.4956474850932471,0.4983093509812363,0.6968125319326123,0.5971223021582733,0.158273381294964,0.079136690647482,0.6762589928057554,0.9856115107913668,1.3447896302867768,stage03_vehicle_instability_formal_baselines_v0_1,4,ridge history,formal_linear,False,False,False,False,0.30935251798561136
pre2_label2_old_main,session_level_split,test,formal_ridge_vehicle_context_no_subject,139,0.6493414042317994,0.7697841726618705,0.2302158273381295,0.08,0.6543722839878617,1.4012942771803274,0.5827338129496403,0.4490287809920825,0.7169424487787078,0.6636619537268102,0.6258992805755396,0.1726618705035971,0.0935251798561151,0.6762589928057554,0.9496402877697842,1.2652385284270855,stage03_vehicle_instability_formal_baselines_v0_1,5,formal ridge,formal_linear,False,False,False,False,0.27338129496402874
pre2_label2_old_main,session_level_split,test,active_legacy_best,139,0.637365657549946,0.8705035971223022,0.1294964028776978,0.1428571428571428,0.6404447819796397,0.8434422026729123,0.6834532374100719,0.553489213641867,0.7156474830502336,0.530854704113101,0.5539568345323741,0.8705035971223022,0.0863309352517985,0.6762589928057554,0.0359712230215827,1.0536964913223417,oldcode_vehicle_direct_full_clean_on_instability_v0_1,6,old vehicle_direct active,old_vehicle_direct_clean,False,False,False,False,0.6402877697841727
pre2_label2_old_main,session_level_split,test,structure_best,139,0.6477202086448643,0.8561151079136691,0.1438848920863309,0.2,0.5832658775097175,1.0411553793225747,0.5611510791366906,0.5452518075731375,0.640467626618878,0.4966449107331552,0.4748201438848921,0.8705035971223022,0.0575539568345323,0.6762589928057554,0.7338129496402878,1.0600331887049546,oldcode_vehicle_direct_full_clean_on_instability_v0_1,7,old vehicle_direct structure,old_vehicle_direct_clean,False,False,False,False,0.05755395683453235
pre2_label2_old_main,session_level_split,test,ridge_rich_history_no_subject,139,0.6806830827493696,0.7553956834532374,0.2446043165467626,0.16,0.59846643894482,2.021668303613296,0.3741007194244604,0.4823021554260803,0.3738848933775862,0.6965281101305494,0.5899280575539568,0.1438848920863309,0.0575539568345323,0.6762589928057554,1.0,1.3071679721581184,stage03_vehicle_instability_strong_vehicle_baselines_v0_1,8,rich ridge history,strong_vehicle_diagnostic,False,False,False,False,0.3237410071942446
pre2_label2_old_main,session_level_split,test,ridge_rich_context_no_subject,139,0.6529413251569676,0.8201438848920863,0.1798561151079136,0.24,0.5525344933430067,2.096012144744895,0.3309352517985611,0.4325179933644027,0.327733814300929,0.6516833520492726,0.5539568345323741,0.1510791366906475,0.0359712230215827,0.6762589928057554,1.0,1.2547611628315598,stage03_vehicle_instability_strong_vehicle_baselines_v0_1,9,rich ridge context,strong_vehicle_diagnostic,False,False,False,False,0.3237410071942446
