window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,comparison_source
pre3_label3_response_coverage,session_level_split,train,ridge_vehicle_history_no_subject,188,0.6098904744528788,0.7925531914893617,0.2074468085106383,0.14893617021276595,0.6289568131670673,1.3249914941157648,0.35638297872340424,0.46292552740332926,0.45263297876660175,0.1563299308861346,0.0797872340425532,0.0851063829787234,0.010638297872340425,0.925531914893617,1.0,0.9886635080024704,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,train,train_mean_all,188,0.7790737751255052,0.5319148936170213,0.46808510638297873,0.0,1.0719945041977978,0.3352575240631128,0.9148936170212766,1.0325266001547904,2.0327925529093185,0.16610883594678832,0.07446808510638298,0.0851063829787234,0.0,0.925531914893617,1.0,1.2345637301786938,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,train,train_mean_by_event_type,188,0.7724741161286254,0.5957446808510638,0.40425531914893614,0.0,0.976437614358803,0.45405344409758713,0.8297872340425532,0.6150532024813459,1.6839893616815196,0.16501239548558666,0.06914893617021277,0.0851063829787234,0.02127659574468085,0.925531914893617,0.9787234042553191,1.229235017578446,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,train,zero_response_hold_current,188,0.7814778043189219,0.46808510638297873,0.5319148936170213,0.0,1.1821052449894078,0.0,1.0,1.5813563853660797,2.518191487865245,0.16608755700686512,0.06382978723404255,0.9148936170212766,0.015957446808510637,0.925531914893617,0.0,1.2411340456831677,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,val,direction_gated_knn_template_no_subject,42,0.6841722106899019,0.8095238095238095,0.19047619047619047,0.5,0.4659907319361255,2.878999422682286,0.21428571428571427,0.5230952295519057,0.4974999979493164,0.22481788236265338,0.07142857142857142,0.16666666666666666,0.047619047619047616,0.9285714285714286,0.9761904761904762,1.1480848320747947,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,val,formal_ridge_vehicle_context_no_subject,42,0.6839682190558335,0.8095238095238095,0.19047619047619047,0.0,0.8597453657005515,2.3979411555639505,0.6190476190476191,0.5766666723149163,0.922857142408334,0.20957111374896376,0.09523809523809523,0.09523809523809523,0.0,0.9285714285714286,1.0,1.1472369965534652,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,val,history_trend_500ms,42,1.4053587206727682,0.19047619047619047,0.8095238095238095,0.7,0.6349541489700121,1.7638453070976718,0.11904761904761904,1.4669047615357809,0.48047618842905476,1.3829088964765626,0.8809523809523809,0.9047619047619048,0.023809523809523808,0.9285714285714286,0.0,1.9474782624579632,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,val,keypoint_residual_vehicle_transformer_no_subject,42,0.5983006404808509,0.9047619047619048,0.09523809523809523,0.5,0.5912665149995259,2.7175963137035772,0.23809523809523808,0.5014285750332332,0.7934523794267859,0.208155320475011,0.047619047619047616,0.40476190476190477,0.047619047619047616,0.9285714285714286,0.0,0.9571109204575173,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,val,knn_template_context_no_subject,42,0.6409359357865521,0.8095238095238095,0.19047619047619047,0.5,0.5535217630011695,2.0497696687166145,0.2857142857142857,0.5935714329992022,0.5820238092648131,0.2135897589559179,0.07142857142857142,0.11904761904761904,0.023809523809523808,0.9285714285714286,1.0,1.0824643704582757,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,val,peak_scaled_template_context_no_subject,42,0.645802353783699,0.8095238095238095,0.19047619047619047,0.7,0.43649310370286304,1.7277458021432222,0.11904761904761904,0.5082142800092697,0.5021428591793492,0.22753729264340586,0.11904761904761904,0.19047619047619047,0.0,0.9285714285714286,1.0,1.102955750033436,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,val,rbf_kernel_ridge_context_no_subject,42,0.5714822247805078,0.8809523809523809,0.11904761904761904,0.5,0.5098802603937641,3.109326650188326,0.21428571428571427,0.5198809525796345,0.5092857141225111,0.20645945040390648,0.047619047619047616,0.11904761904761904,0.023809523809523808,0.9285714285714286,0.9523809523809523,0.9109325436974252,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,val,ridge_rich_context_no_subject,42,0.6079160548870842,0.8333333333333334,0.16666666666666666,0.2,0.6418352943091166,2.5720565391315398,0.30952380952380953,0.5211904864935648,0.4244047576295478,0.22041172896223588,0.047619047619047616,0.07142857142857142,0.0,0.9285714285714286,1.0,0.9956567003481915,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,val,ridge_rich_history_no_subject,42,0.6160546394833435,0.7857142857142857,0.21428571428571427,0.1,0.6399324713718324,2.206188220138113,0.35714285714285715,0.49154761078811826,0.4203571412002757,0.22106236222039333,0.07142857142857142,0.07142857142857142,0.0,0.9285714285714286,1.0,1.0511318447626299,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,val,ridge_vehicle_history_no_subject,42,0.6389192809749628,0.8095238095238095,0.19047619047619047,0.2,0.7094228079631215,2.4361909070465693,0.38095238095238093,0.5135714397543952,0.6602380952930876,0.22370731386694215,0.11904761904761904,0.09523809523809523,0.0,0.9285714285714286,1.0,1.0661746648536434,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,val,train_mean_all,42,0.7744578143658928,0.42857142857142855,0.5714285714285714,0.0,1.0614326326620012,0.48860730678646985,0.9047619047619048,0.9252380977074305,1.9467857151868797,0.20547117718628474,0.09523809523809523,0.09523809523809523,0.0,0.9285714285714286,1.0,1.2818672286338206,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,val,train_mean_by_event_type,42,0.7666253784385703,0.5,0.5,0.0,0.967807320966607,0.8652541685597372,0.8095238095238095,0.6138095323528562,1.6747619051131464,0.20305701877112456,0.07142857142857142,0.09523809523809523,0.023809523809523808,0.9285714285714286,1.0,1.2794217790251876,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,val,zero_response_hold_current,42,0.7681566972678854,0.5714285714285714,0.42857142857142855,0.0,1.1700519238199507,0.0,1.0,1.476904761933145,2.538571430281514,0.2055373667251496,0.09523809523809523,0.9047619047619048,0.023809523809523808,0.9285714285714286,0.0,1.2733645031231768,B_response3s_strict_core,current_keypoint_residual_vehicle_transformer_run
pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,40,0.566011200471459,0.775,0.225,0.625,0.5508254997432231,0.9638105479674371,0.3,0.5376249924302101,0.8521249985322357,0.2988018655683845,0.175,0.275,0.05,0.95,0.0,0.7705063470520028,B_response3s_strict_core,stage03_vehicle_instability_clean_task_vehicle_transformer_v0_1
pre3_label3_response_coverage,session_level_split,train,vehicle_transformer_context_no_subject,188,0.437382295766435,0.8617021276595744,0.1382978723404255,0.5957446808510638,0.4443822845895874,1.0982007314553366,0.2234042553191489,0.4709574477945236,0.4910904245569985,0.3392971064595064,0.2127659574468085,0.2393617021276596,0.0638297872340425,0.925531914893617,0.0372340425531914,0.7242021237141336,B_response3s_strict_core,stage03_vehicle_instability_clean_task_vehicle_transformer_v0_1
pre3_label3_response_coverage,session_level_split,val,vehicle_transformer_context_no_subject,42,0.6024138119860606,0.9047619047619048,0.0952380952380952,0.4,0.5850696936249733,1.7054404333444555,0.3095238095238095,0.5283333254711968,0.7144047625008083,0.3220501861568274,0.1904761904761904,0.2619047619047619,0.0714285714285714,0.9285714285714286,0.0238095238095238,0.9484024283727084,B_response3s_strict_core,stage03_vehicle_instability_clean_task_vehicle_transformer_v0_1
pre3_label3_response_coverage,session_level_split,test,structured_vehicle_transformer_aux_no_subject,40,0.6021735065212176,0.775,0.225,0.5,0.5536954589188099,0.846596346209688,0.35,0.5322499990463256,0.6436250008642673,0.3307274302933365,0.25,0.55,0.075,0.95,0.05,0.8022889841027043,B_response3s_strict_core,stage03_vehicle_instability_structured_vehicle_transformer_v0_1
pre3_label3_response_coverage,session_level_split,train,structured_vehicle_transformer_aux_no_subject,188,0.4430632991179261,0.8936170212765957,0.1063829787234042,0.6382978723404256,0.4624342877378172,0.8399631500568456,0.2180851063829787,0.4602659565812729,0.4805585098987881,0.3097133708912186,0.2074468085106383,0.4148936170212766,0.0744680851063829,0.925531914893617,0.1063829787234042,0.7398997541676868,B_response3s_strict_core,stage03_vehicle_instability_structured_vehicle_transformer_v0_1
pre3_label3_response_coverage,session_level_split,val,structured_vehicle_transformer_aux_no_subject,42,0.6214205745372653,0.8333333333333334,0.1666666666666666,0.4,0.6160554048560914,1.7357429720634965,0.3333333333333333,0.5798809478680292,0.638928571715951,0.3198964383641612,0.1666666666666666,0.4047619047619047,0.0238095238095238,0.9285714285714286,0.0476190476190476,1.01810302899999,B_response3s_strict_core,stage03_vehicle_instability_structured_vehicle_transformer_v0_1
